Current Attendence Sheet Data of FDN12513  |  All Type


-,2019-07-29-13:00:00-Lect-1H-ng,2019-07-31-13:00:00-Lect-2H-ng,2019-08-05-13:00:00-Lect-1H-ng,2019-08-07-13:00:00-Lect-2H-ng,2019-08-19-13:00:00-Lect-1H-ng,2019-08-21-13:00:00-Lect-2H-ng,2019-12-09-12:00:00-Lect-1H-ng,2019-12-16-12:00:00-Lect-1H-ng,2019-12-18-13:00:00-Lect-2H-ng,2019-12-23-13:00:00-Lect-1H-ng,2020-01-01-13:00:00-Lect-2H-ng,2020-01-06-13:00:00-Lect-1H-ng,2020-01-08-13:00:00-Lect-2H-ng,2020-01-13-13:00:00-Lect-1H-ng,2020-01-20-13:00:00-Lect-1H-ng,2020-01-22-13:00:00-Lect-2H-ng,2020-01-27-13:00:00-Lect-1H-ng,2020-01-29-13:00:00-Lect-2H-ng,2020-02-03-13:00:00-Lect-1H-ng,2020-02-05-13:00:00-Lect-2H-ng,2020-02-10-13:00:00-Lect-1H-ng,2020-02-12-13:00:00-Lect-2H-ng,2020-02-17-13:00:00-Lect-1H-ng,2020-02-19-13:00:00-Lect-2H-ng,%
HS/2018/16663,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,94 %,
HS/2018/16664,1,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,77 %,
HS/2018/16665,1,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0,1,1,1,1,0,1,77 %,
HS/2018/16666,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,100 %,
HS/2018/16667,0,1,1,1,1,1,M,M,1,0,1,1,1,0,1,1,1,1,1,1,1,0,0,1,83 %,
HS/2018/16668,0,1,1,1,1,0,1,1,0,1,0,1,1,1,1,0,1,0,1,1,1,1,1,1,69 %,
HS/2018/16669,1,1,1,0,1,1,1,0,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,86 %,
HS/2018/16670,1,0,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,0,74 %,
HS/2018/16671,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,94 %,
HS/2018/16672,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1,80 %,
HS/2018/16673,1,0,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,M,M,1,1,1,1,86 %,
HS/2018/16674,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,0,77 %,
HS/2018/16675,1,M,1,M,1,1,1,1,1,1,1,1,1,M,1,1,1,1,M,M,1,1,1,0,94 %,
HS/2018/16676,0,0,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,83 %,
HS/2018/16677,0,0,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,83 %,
HS/2018/16678,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,97 %,
HS/2018/16679,M,M,M,1,1,1,M,0,1,1,0,1,1,0,1,0,1,1,1,1,1,1,M,0,77 %,
