Current Attendence Sheet Data of BCU12513  |  All Type


-,2019-08-01-08:00:00-Lect-2H-ng,2019-08-02-13:00:00-Lect-1H-ng,2019-08-08-08:00:00-Lect-2H-ng,2019-08-09-13:00:00-Lect-1H-ng,2019-08-15-08:00:00-Lect-1H-ng,2019-08-16-13:00:00-Lect-1H-ng,2019-08-22-09:00:00-Lect-2H-ng,2019-08-22-09:00:00-Lect-1H-ng,2019-08-23-13:00:00-Lect-1H-ng,2019-12-12-08:00:00-Lect-2H-ng,2019-12-13-13:00:00-Lect-1H-ng,2019-12-19-08:00:00-Lect-2H-ng,2019-12-20-12:00:00-Lect-1H-ng,2020-01-02-08:00:00-Lect-2H-ng,2020-01-03-13:00:00-Lect-1H-ng,2020-01-09-08:00:00-Lect-1H-ng,2020-01-09-09:00:00-Lect-1H-ng,2020-01-16-08:00:00-Lect-1H-ng,2020-01-16-09:00:00-Lect-1H-ng,2020-01-17-13:00:00-Lect-1H-ng,2020-01-20-13:00:00-Lect-1H-ng,2020-01-23-08:00:00-Lect-2H-ng,2020-01-24-13:00:00-Lect-1H-ng,2020-01-30-08:00:00-Lect-1H-ng,2020-01-30-09:00:00-Lect-1H-ng,2020-02-07-13:00:00-Lect-1H-ng,2020-02-13-08:00:00-Lect-1H-ng,2020-02-13-08:00:00-Lect-1H-ng,2020-02-13-09:00:00-Lect-1H-ng,2020-02-14-13:00:00-Lect-1H-ng,2020-02-20-08:00:00-Lect-1H-ng,2020-02-20-09:00:00-Lect-1H-ng,2020-02-20-12:00:00-Lect-1H-ng,%
HS/2018/16960,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,98 %,
HS/2018/16978,E,E,E,E,E,E,1,0,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,85 %,
HS/2018/16986,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,0,1,1,1,1,1,88 %,
HS/2018/16988,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,0,1,1,0,0,0,80 %,
HS/2018/16997,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,95 %,
HS/2018/17021,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,98 %,
HS/2018/17041,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,88 %,
HS/2018/17043,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,88 %,
HS/2018/17044,0,1,1,1,1,0,1,1,0,0,0,E,E,E,1,E,E,1,1,1,1,1,1,1,1,E,1,E,1,E,1,1,1,83 %,
HS/2018/17053,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,1,1,1,88 %,
HS/2018/17056,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0,1,1,1,1,M,M,1,1,1,1,1,1,0,1,1,1,1,0,88 %,
HS/2018/17079,0,0,1,1,0,0,1,1,0,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,M,M,M,M,M,M,80 %,
HS/2018/17091,E,E,1,1,E,1,1,1,0,E,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,0,1,0,1,1,0,80 %,
HS/2018/17109,0,0,1,1,1,1,1,1,1,1,1,1,1,1,M,M,M,M,M,1,M,1,1,1,1,0,0,0,0,1,1,1,0,80 %,
HS/2018/17111,1,1,1,1,E,1,1,1,E,E,1,E,1,E,E,0,0,0,0,0,1,1,1,1,1,1,1,0,1,0,1,1,0,80 %,
HS/2018/17112,1,0,1,1,1,0,1,0,0,1,1,1,1,1,0,0,0,E,E,1,1,1,1,1,1,1,1,E,1,1,1,E,E,83 %,
Total,32,35,45,41,39,36,45,38,5,41,39,46,40,44,40,43,43,40,40,43,41,44,44,45,45,44,43,13,42,39,44,44,33,
