Current Attendence Sheet Data of STS22513  |  All Type


-,2019-07-31-09:00:00-Lect-2H-ng,2019-08-06-08:00:00-Lect-1H-ng,2019-08-07-09:00:00-Lect-2H-ng,2019-08-13-08:00:00-Lect-1H-ng,2019-08-20-08:00:00-Lect-1H-ng,2019-08-21-09:00:00-Lect-2H-ng,2019-12-09-08:00:00-Lect-1H-ng,2019-12-17-08:00:00-Lect-1H-ng,2019-12-18-09:00:00-Lect-2H-ng,2019-12-18-09:00:00-Lect-1H-ng,2019-12-24-08:00:00-Lect-1H-ng,2019-12-31-08:00:00-Lect-1H-ng,2020-01-01-09:00:00-Lect-2H-ng,2020-01-07-08:00:00-Lect-1H-ng,2020-01-08-09:00:00-Lect-2H-ng,2020-01-14-08:00:00-Lect-1H-ng,2020-01-21-09:00:00-Lect-2H-ng,2020-01-22-09:00:00-Lect-2H-ng,2020-01-22-09:00:00-Lect-2H-ng,2020-01-28-08:00:00-Lect-1H-ng,2020-01-29-09:00:00-Lect-2H-ng,2020-02-05-09:00:00-Lect-2H-ng,2020-02-05-11:00:00-Lect-2H-ng,2020-02-11-08:00:00-Lect-2H-ng,2020-02-12-09:00:00-Lect-2H-ng,2020-02-18-08:00:00-Lect-1H-ng,2020-02-19-09:00:00-Lect-2H-ng,%
HS/2017/16147,1,0,1,0,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,88 %,
HS/2017/16399,1,0,1,0,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,88 %,
Total,2,0,2,0,2,2,0,2,2,2,2,2,2,2,2,1,1,2,2,1,2,2,2,2,2,2,2,
