Current Attendence Sheet Data of HIS22653  |  All Type


-,2019-08-01-16:00:00-Lect-2H-ng,2019-08-06-09:00:00-Lect-1H-ng,2019-08-08-16:00:00-Lect-2H-ng,2019-08-15-16:00:00-Lect-2H-ng,2019-08-20-09:00:00-Lect-1H-ng,2019-08-22-16:00:00-Lect-2H-ng,2019-12-10-09:00:00-Lect-1H-ng,2019-12-12-16:00:00-Lect-2H-ng,2019-12-17-09:00:00-Lect-1H-ng,2019-12-19-16:00:00-Lect-2H-ng,2019-12-24-09:00:00-Lect-1H-ng,2019-12-31-09:00:00-Lect-1H-ng,2020-01-02-16:00:00-Lect-2H-ng,2020-01-07-09:00:00-Lect-1H-ng,2020-01-09-16:00:00-Lect-2H-ng,2020-01-14-09:00:00-Lect-1H-ng,2020-01-16-16:00:00-Lect-2H-ng,2020-01-21-09:00:00-Lect-1H-ng,2020-01-23-16:00:00-Lect-2H-ng,2020-01-28-09:00:00-Lect-1H-ng,2020-01-30-16:00:00-Lect-2H-ng,2020-02-06-16:00:00-Lect-2H-ng,2020-02-11-09:00:00-Lect-1H-ng,2020-02-13-16:00:00-Lect-2H-ng,2020-02-18-09:00:00-Lect-1H-ng,%
HS/2017/16266,0,1,1,M,1,M,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,87 %,
HS/2017/16274,1,1,1,0,1,0,1,1,0,1,1,1,1,1,1,1,1,1,M,1,1,1,1,1,1,87 %,
HS/2017/16278,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,89 %,
HS/2017/16282,0,1,1,M,1,M,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,89 %,
HS/2017/16291,0,0,1,M,1,M,1,1,1,M,1,0,M,1,1,1,1,1,1,1,0,1,1,1,1,84 %,
HS/2017/16301,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,0,1,0,1,1,79 %,
HS/2017/16302,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,95 %,
HS/2017/16303,0,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,84 %,
HS/2017/16304,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,89 %,
HS/2017/16306,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,95 %,
HS/2017/16307,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,1,84 %,
HS/2017/16308,1,1,1,0,1,0,1,1,1,1,1,M,M,M,1,1,1,1,1,1,1,1,1,1,1,89 %,
HS/2017/16309,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,E,1,95 %,
HS/2017/16310,0,1,0,0,1,0,1,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,24 %,
HS/2017/16314,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,84 %,
HS/2017/16315,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,89 %,
HS/2017/16316,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,89 %,
HS/2017/16319,1,E,1,E,1,E,E,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,95 %,
