Current Attendence Sheet Data of FDN32613  |  All Type


-,2019-07-31-10:00:00-Lect-2H-ng,2019-08-01-11:00:00-Lect-1H-ng,2019-08-07-10:00:00-Lect-2H-ng,2019-08-08-11:00:00-Lect-1H-ng,2019-08-14-10:00:00-Lect-2H-ng,2019-08-15-11:00:00-Lect-1H-ng,2019-08-21-10:00:00-Lect-2H-ng,2019-08-22-11:00:00-Lect-1H-ng,2019-12-11-10:00:00-Lect-2H-ng,2019-12-12-11:00:00-Lect-1H-ng,2019-12-18-10:00:00-Lect-2H-ng,2019-12-19-11:00:00-Lect-1H-ng,2019-12-25-10:00:00-Lect-2H-ng,2019-12-26-11:00:00-Lect-1H-ng,2020-01-01-10:00:00-Assi-1H-ng,2020-01-01-11:00:00-Assi-1H-ng,2020-01-02-11:00:00-Assi-1H-ng,2020-01-08-10:00:00-Lect-2H-ng,2020-01-09-11:00:00-Lect-1H-ng,2020-01-15-10:00:00-Lect-2H-ng,2020-01-16-11:00:00-Lect-1H-ng,2020-01-22-10:00:00-Lect-2H-ng,2020-01-23-11:00:00-Lect-1H-ng,2020-01-29-10:00:00-Lect-2H-ng,2020-01-30-11:00:00-Lect-1H-ng,2020-02-05-10:00:00-Assi-1H-ng,2020-02-05-11:00:00-Assi-1H-ng,2020-02-06-11:00:00-Assi-1H-ng,2020-02-12-10:00:00-Lect-2H-ng,2020-02-13-11:00:00-Lect-1H-ng,2020-02-19-10:00:00-Lect-2H-ng,2020-02-20-11:00:00-Lect-1H-ng,%
HS/2016/15929,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,98 %,
HS/2016/15930,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,89 %,
HS/2016/15931,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,84 %,
HS/2016/15932,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,M,1,1,1,1,M,1,1,1,1,1,1,1,1,0,98 %,
HS/2016/15933,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,91 %,
HS/2016/15938,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,91 %,
HS/2016/15939,0,1,M,1,1,M,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,89 %,
HS/2016/15940,0,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,89 %,
HS/2016/15941,1,1,1,0,1,1,M,M,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,0,87 %,
HS/2016/15942,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,91 %,
HS/2016/15944,0,0,1,M,1,M,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,87 %,
HS/2016/15946,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,91 %,
HS/2016/15947,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,91 %,
HS/2016/15948,M,1,M,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,98 %,
HS/2016/15949,M,M,M,M,1,M,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,91 %,
HS/2016/15950,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,91 %,
HS/2016/15951,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,84 %,
HS/2016/15954,M,M,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,84 %,
HS/2016/15956,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,93 %,
HS/2016/15957,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,96 %,
HS/2016/15958,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,91 %,
HS/2016/15959,M,1,1,0,1,1,M,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,91 %,
HS/2016/15960,0,0,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,87 %,
HS/2016/15961,0,0,0,0,1,0,M,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,M,M,1,1,1,1,1,0,0,78 %,
HS/2016/15962,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,89 %,
HS/2016/15963,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,91 %,
HS/2016/15964,0,1,1,0,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,87 %,
HS/2016/15965,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,91 %,
HS/2016/15967,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,0,87 %,
HS/2016/15968,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,93 %,
HS/2016/15969,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,87 %,
HS/2016/15971,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,89 %,
HS/2016/15972,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,93 %,
HS/2016/15973,0,1,1,1,1,1,M,M,1,1,M,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,93 %,
HS/2016/15974,0,0,1,1,1,M,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,89 %,
HS/2016/15975,M,M,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,93 %,
HS/2016/15976,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,89 %,
HS/2016/15979,0,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,87 %,
HS/2016/15980,M,M,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,91 %,
HS/2016/15981,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,91 %,
HS/2016/15983,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,89 %,
HS/2016/15984,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,89 %,
HS/2016/15985,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,89 %,
HS/2016/15988,M,M,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,96 %,
HS/2016/15989,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,89 %,
HS/2016/15994,M,1,M,M,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,98 %,
HS/2016/15997,M,M,1,1,1,M,1,M,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,0,91 %,
HS/2016/15998,0,0,0,0,1,0,0,0,1,0,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,0,69 %,
HS/2016/16000,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,87 %,
HS/2016/16001,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,91 %,
HS/2016/16002,0,0,0,0,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,78 %,
HS/2016/16003,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,96 %,
HS/2016/16004,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,M,1,1,1,1,1,1,1,1,1,1,1,1,1,0,89 %,
HS/2016/16005,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,87 %,
HS/2016/16006,M,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,96 %,
HS/2016/16010,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,91 %,
HS/2016/16011,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,89 %,
HS/2016/16012,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,93 %,
HS/2016/16014,M,M,1,1,1,M,M,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,93 %,
HS/2016/16015,0,1,1,M,1,M,1,0,1,M,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,84 %,
HS/2016/16017,1,1,1,0,1,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,84 %,
HS/2016/16023,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,0,89 %,
HS/2016/16025,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,91 %,
HS/2016/16026,0,M,M,M,1,M,1,M,1,M,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,87 %,
HS/2016/16027,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,98 %,
HS/2016/16030,0,0,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,0,0,69 %,
HS/2016/16032,M,M,1,1,1,M,M,M,1,M,1,1,1,1,1,1,1,M,M,1,M,1,1,1,1,1,1,1,0,1,1,0,93 %,
HS/2016/16036,M,M,1,0,1,1,M,M,1,0,1,1,1,1,1,1,1,M,M,1,0,0,0,0,1,1,1,1,0,1,1,0,76 %,
HS/2016/16038,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,89 %,
HS/2016/16040,0,0,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,87 %,
HS/2016/16044,M,M,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,0,82 %,
HS/2016/16048,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,89 %,
HS/2016/16051,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,98 %,
HS/2016/16056,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,91 %,
HS/2016/16058,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,98 %,
HS/2016/16059,0,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,89 %,
HS/2016/16060,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,93 %,
HS/2016/16061,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,91 %,
HS/2016/16064,0,1,1,1,1,1,M,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,93 %,
HS/2016/16065,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,91 %,
HS/2016/16066,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,91 %,
HS/2016/16071,0,1,M,M,1,M,M,M,1,1,1,M,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,91 %,
HS/2016/16073,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,91 %,
HS/2016/16074,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,89 %,
HS/2016/16076,0,0,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0,0,71 %,
HS/2016/16078,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,91 %,
HS/2016/16079,0,M,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,87 %,
HS/2016/16080,M,M,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,0,91 %,
HS/2016/16081,0,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,80 %,
HS/2016/16082,M,1,1,M,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,96 %,
HS/2016/16083,M,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,96 %,
HS/2016/16085,M,M,1,1,1,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,89 %,
HS/2016/16086,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,98 %,
HS/2016/16089,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,91 %,
HS/2016/16090,M,M,1,1,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,89 %,
HS/2016/16091,0,0,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,87 %,
HS/2016/16092,M,M,1,0,1,0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,82 %,
HS/2016/16093,0,M,1,1,1,1,1,M,1,M,1,1,1,1,1,1,1,M,M,1,1,1,1,1,0,1,1,1,0,1,1,0,87 %,
HS/2016/16096,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,93 %,
HS/2016/16098,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,98 %,
HS/2016/16101,E,0,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,E,1,1,0,1,1,1,1,1,1,1,1,1,1,0,89 %,
HS/2016/16104,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,93 %,
HS/2016/16108,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,84 %,
HS/2016/16115,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,93 %,
HS/2016/16120,0,0,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0,1,0,1,1,0,0,1,1,1,0,1,1,0,71 %,
HS/2016/16121,M,M,1,M,1,1,1,M,1,M,1,1,1,1,1,1,1,1,1,1,1,1,1,M,1,1,1,1,1,1,1,0,98 %,
HS/2016/16123,M,1,1,1,1,0,0,1,1,0,1,1,1,1,1,1,1,1,M,1,1,1,1,1,1,1,1,1,1,1,1,0,89 %,
HS/2016/16127,0,0,0,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,76 %,
HS/2016/16132,M,M,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,M,M,1,1,1,1,1,M,1,1,1,0,1,1,0,89 %,
HS/2016/16140,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,89 %,
HS/2016/16141,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,87 %,
HS/2016/16142,M,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,93 %,
Total,88,159,228,213,241,215,220,174,241,180,236,233,241,241,241,241,241,232,227,241,224,238,230,236,227,241,241,241,234,234,203,0,
