Current Attendence Sheet Data of HIS11513  |  All Type


-,2019-03-08-13:00:00-Lect-2H-ng,2019-03-19-17:00:00-Lect-1H-ng,2019-03-29-13:00:00-Lect-2H-ng,2019-04-02-17:00:00-Lect-1H-ng,2019-04-09-17:00:00-Lect-1H-ng,2019-05-21-17:00:00-Lect-1H-ng,2019-05-24-13:00:00-Lect-2H-ng,2019-05-28-17:00:00-Lect-1H-ng,2019-05-31-13:00:00-Lect-2H-ng,2019-06-04-17:00:00-Lect-1H-ng,2019-06-07-13:00:00-Assi-2H-ng,%
HS/2018/16771,0,0,1,0,1,1,1,0,1,0,0,50 %,
HS/2018/16774,0,0,1,1,0,0,0,0,1,0,0,31 %,
HS/2018/16777,0,1,1,0,1,1,1,0,0,0,0,44 %,
HS/2018/16778,0,1,0,1,1,0,1,0,0,0,0,31 %,
HS/2018/16780,0,0,1,0,0,0,0,0,1,0,0,25 %,
HS/2018/16782,0,1,1,0,0,1,1,0,0,0,0,38 %,
HS/2018/16784,0,0,1,0,0,0,1,0,1,0,0,38 %,
HS/2018/16785,0,0,1,1,0,1,1,0,1,0,0,50 %,
HS/2018/16788,0,1,0,0,0,1,1,0,0,0,0,25 %,
HS/2018/16789,0,0,1,0,0,1,1,0,0,0,0,31 %,
HS/2018/16790,0,1,1,0,1,1,1,0,1,0,0,56 %,
HS/2018/16792,0,0,1,1,0,0,0,0,1,0,0,31 %,
HS/2018/16793,0,0,1,0,0,1,1,0,1,0,0,44 %,
HS/2018/16794,1,0,0,1,0,0,0,0,1,0,0,31 %,
HS/2018/16796,0,0,1,1,0,1,1,0,1,0,0,50 %,
HS/2018/16798,0,0,0,0,0,0,0,0,0,0,0,0 %,
HS/2018/16801,0,0,0,1,1,0,1,0,0,0,0,25 %,
HS/2018/16803,0,0,1,1,0,1,1,0,1,0,0,50 %,
HS/2018/16806,1,0,1,1,1,1,1,0,1,0,0,69 %,
HS/2018/16807,0,1,1,0,1,1,0,0,1,0,0,44 %,
HS/2018/16808,1,0,1,1,0,1,1,0,1,0,0,63 %,
HS/2018/16809,0,0,1,0,1,1,1,0,0,0,0,38 %,
HS/2018/16814,0,1,0,1,1,1,0,0,1,0,0,38 %,
HS/2018/16815,0,0,1,0,1,1,1,0,1,0,0,50 %,
HS/2018/16816,0,1,0,1,0,1,1,0,0,0,0,31 %,
HS/2018/16818,0,1,1,1,1,1,1,0,1,0,0,63 %,
HS/2018/16823,0,0,0,1,0,1,1,0,0,0,0,25 %,
HS/2018/16825,0,1,1,1,0,0,1,0,1,0,0,50 %,
HS/2018/16827,0,0,1,1,0,0,1,0,1,0,0,44 %,
HS/2018/16829,1,0,1,0,1,1,1,0,1,0,0,63 %,
HS/2018/16831,0,0,1,1,0,0,0,0,1,0,0,31 %,
HS/2018/16832,0,0,0,0,0,0,0,0,1,0,0,13 %,
HS/2018/16834,1,0,1,1,1,0,1,0,1,0,0,63 %,
HS/2018/16835,0,0,0,1,0,1,0,0,0,0,0,13 %,
HS/2018/16841,1,1,0,1,1,1,1,0,1,0,0,63 %,
HS/2018/16842,0,0,0,0,0,1,1,0,0,0,0,19 %,
HS/2018/16844,1,0,1,1,1,1,1,0,1,0,0,69 %,
HS/2018/16847,1,0,1,0,0,1,1,0,1,0,0,56 %,
HS/2018/16850,1,0,0,0,1,1,1,0,1,0,0,50 %,
HS/2018/16851,0,1,1,0,0,0,1,0,1,0,0,44 %,
HS/2018/16852,0,0,1,1,1,1,1,0,1,0,0,56 %,
HS/2018/16853,0,0,0,0,0,1,1,0,0,0,0,19 %,
HS/2018/16854,0,0,1,1,0,1,1,0,0,0,0,38 %,
HS/2018/16855,0,1,0,0,0,0,1,0,0,0,0,19 %,
HS/2018/16856,1,0,0,1,1,0,1,0,0,0,0,38 %,
HS/2018/16857,0,0,1,1,1,1,1,0,0,0,0,44 %,
HS/2018/16858,0,0,0,1,0,1,1,0,1,0,0,38 %,
HS/2018/16859,1,0,0,1,0,0,0,0,1,0,0,31 %,
HS/2018/16864,1,0,0,1,0,1,1,0,0,0,0,38 %,
HS/2018/16865,0,1,0,0,0,0,0,0,1,0,0,19 %,
HS/2018/16866,0,0,0,1,1,0,0,0,1,0,0,25 %,
HS/2018/16867,0,1,0,0,1,1,1,0,0,0,0,31 %,
HS/2018/16870,0,1,0,0,0,0,1,0,1,0,0,31 %,
HS/2018/16871,0,0,1,0,0,1,1,0,0,0,0,31 %,
HS/2018/16872,0,0,1,1,1,1,1,0,1,0,0,56 %,
HS/2018/16873,0,0,1,0,1,1,1,0,1,0,0,50 %,
HS/2018/16876,0,0,1,1,0,1,1,0,1,0,0,50 %,
HS/2018/16877,1,1,1,0,0,1,0,0,1,0,0,50 %,
HS/2018/16880,0,0,1,1,0,1,1,0,1,0,0,50 %,
HS/2018/16881,0,0,0,1,1,1,0,0,1,0,0,31 %,
HS/2018/16882,0,1,1,0,0,0,0,0,0,0,0,19 %,
HS/2018/16884,0,0,1,1,0,1,1,0,1,0,0,50 %,
HS/2018/16888,0,0,0,0,0,1,1,0,1,0,0,31 %,
HS/2018/16889,0,0,0,0,0,0,1,0,0,0,0,13 %,
HS/2018/16890,0,1,1,1,0,1,0,0,0,0,0,31 %,
HS/2018/16892,0,0,1,1,0,0,1,0,0,0,0,31 %,
HS/2018/16895,0,0,0,1,0,1,1,0,0,0,0,25 %,
HS/2018/16896,0,0,1,0,1,1,1,0,1,0,0,50 %,
HS/2018/16897,0,0,1,1,1,1,1,0,1,0,0,56 %,
HS/2018/16898,0,1,1,1,0,0,1,0,1,0,0,50 %,
HS/2018/16901,0,1,1,0,0,1,1,0,0,0,0,38 %,
HS/2018/16902,0,1,1,0,1,0,0,0,0,0,0,25 %,
HS/2018/16903,0,0,0,0,0,0,0,0,0,0,0,0 %,
HS/2018/16904,0,0,1,0,1,0,1,0,0,0,0,31 %,
HS/2018/16906,1,0,0,1,0,0,1,0,1,0,0,44 %,
HS/2018/16907,0,0,0,1,1,1,1,0,0,0,0,31 %,
HS/2018/16910,0,0,0,1,0,1,1,0,0,0,0,25 %,
HS/2018/16917,0,1,1,0,0,0,1,0,0,0,0,31 %,
HS/2018/16918,1,0,1,0,0,1,0,0,0,0,0,31 %,
HS/2018/16919,0,0,0,1,0,1,1,0,1,0,0,38 %,
HS/2018/16921,0,0,1,1,0,0,1,0,1,0,0,44 %,
HS/2018/16922,0,1,1,0,0,1,1,0,0,0,0,38 %,
HS/2018/16924,1,1,1,1,1,1,1,0,1,0,0,75 %,
HS/2018/16925,0,0,1,0,0,1,1,0,0,0,0,31 %,
HS/2018/16928,0,0,1,0,0,1,1,0,0,0,0,31 %,
HS/2018/16929,1,0,0,1,0,1,1,0,0,0,0,38 %,
HS/2018/16930,1,1,1,1,0,0,1,0,1,0,0,63 %,
HS/2018/16933,0,0,1,0,0,1,1,0,1,0,0,44 %,
HS/2018/16936,0,1,1,0,1,1,1,0,1,0,0,56 %,
HS/2018/16937,0,0,0,0,0,1,0,0,0,0,0,6 %,
HS/2018/16942,0,0,1,1,0,1,1,0,1,0,0,50 %,
HS/2018/16944,0,0,0,0,0,0,1,0,1,0,0,25 %,
HS/2018/16945,0,0,1,0,0,0,1,0,1,0,0,38 %,
HS/2018/16946,0,1,1,0,0,0,1,0,0,0,0,31 %,
HS/2018/16948,0,0,0,0,0,1,1,0,1,0,0,31 %,
HS/2018/16950,0,1,1,0,1,0,1,0,1,0,0,50 %,
HS/2018/16951,0,1,1,0,0,0,0,0,1,0,0,31 %,
HS/2018/16952,0,1,1,1,1,1,1,0,1,0,0,63 %,
HS/2018/16953,0,0,0,0,1,0,1,0,1,0,0,31 %,
HS/2018/16954,0,0,0,1,1,1,1,0,0,0,0,31 %,
HS/2018/16955,1,1,1,0,1,0,1,0,0,0,0,50 %,
HS/2018/16956,1,0,0,0,0,1,1,0,1,0,0,44 %,
HS/2018/16957,0,1,0,1,0,0,1,0,0,0,0,25 %,
HS/2018/16959,0,1,1,1,1,1,1,0,1,0,0,63 %,
HS/2018/16960,1,0,0,0,0,0,1,0,0,0,0,25 %,
HS/2018/16961,0,1,1,1,1,1,1,0,1,0,0,63 %,
HS/2018/16964,1,0,0,0,1,1,1,0,1,0,0,50 %,
HS/2018/16967,0,1,1,0,1,1,1,0,0,0,0,44 %,
HS/2018/16968,0,0,1,0,1,1,0,0,1,0,0,38 %,
HS/2018/16969,1,1,0,0,0,1,0,0,0,0,0,25 %,
HS/2018/16976,0,0,1,1,1,1,1,0,0,0,0,44 %,
HS/2018/16981,1,0,0,1,0,1,1,0,1,0,0,50 %,
HS/2018/16983,0,0,1,1,0,1,1,0,1,0,0,50 %,
HS/2018/16985,0,0,0,1,0,0,1,0,1,0,0,31 %,
HS/2018/16987,0,0,1,0,0,1,1,0,1,0,0,44 %,
HS/2018/16988,0,1,1,0,1,1,1,0,1,0,0,56 %,
HS/2018/16991,0,1,0,0,0,1,1,0,1,0,0,38 %,
HS/2018/16992,1,1,1,1,1,1,1,0,1,0,0,75 %,
HS/2018/16993,0,0,1,1,1,1,1,0,0,0,0,44 %,
HS/2018/16994,0,1,1,0,1,0,1,0,1,0,0,50 %,
HS/2018/16995,0,0,1,1,0,1,0,0,0,0,0,25 %,
HS/2018/16996,1,0,1,0,1,0,1,0,1,0,0,56 %,
HS/2018/16999,0,0,0,1,0,0,1,0,1,0,0,31 %,
HS/2018/17000,0,0,0,0,0,0,0,0,1,0,0,13 %,
HS/2018/17002,1,0,1,1,1,0,0,0,1,0,0,50 %,
HS/2018/17003,0,1,1,1,1,1,1,0,1,0,0,63 %,
HS/2018/17005,0,0,1,0,1,1,1,0,1,0,0,50 %,
HS/2018/17006,0,0,1,1,0,0,1,0,1,0,0,44 %,
HS/2018/17012,1,1,1,1,1,0,1,0,1,0,0,69 %,
HS/2018/17014,0,0,1,1,1,0,1,0,1,0,0,50 %,
HS/2018/17015,1,1,1,1,0,0,1,0,1,0,0,63 %,
HS/2018/17017,0,0,1,1,0,0,1,0,1,0,0,44 %,
HS/2018/17022,0,0,1,1,1,0,1,0,1,0,0,50 %,
HS/2018/17024,0,0,0,0,0,1,1,0,1,0,0,31 %,
HS/2018/17025,0,1,0,1,0,0,1,0,0,0,0,25 %,
HS/2018/17028,0,0,1,0,0,0,0,0,1,0,0,25 %,
HS/2018/17030,0,0,0,1,0,1,0,0,0,0,0,13 %,
HS/2018/17031,0,0,1,0,0,0,1,0,1,0,0,38 %,
HS/2018/17032,0,0,0,1,0,1,1,0,0,0,0,25 %,
HS/2018/17033,0,1,1,0,0,0,0,0,1,0,0,31 %,
HS/2018/17036,0,0,0,0,0,0,0,0,1,0,0,13 %,
HS/2018/17037,1,0,1,0,1,1,1,0,1,0,0,63 %,
HS/2018/17039,0,0,0,0,0,0,0,0,0,0,0,0 %,
HS/2018/17040,1,1,1,1,0,1,1,0,1,0,0,69 %,
HS/2018/17043,0,1,1,0,0,0,0,0,1,0,0,31 %,
HS/2018/17044,0,0,0,0,0,1,1,0,1,0,0,31 %,
HS/2018/17046,0,0,0,0,0,0,0,0,0,0,0,0 %,
HS/2018/17054,0,0,1,0,1,1,1,0,1,0,0,50 %,
HS/2018/17058,0,0,1,1,0,1,1,0,1,0,0,50 %,
HS/2018/17061,0,1,1,1,0,0,1,0,1,0,0,50 %,
HS/2018/17063,1,1,1,1,0,0,1,0,1,0,0,63 %,
HS/2018/17067,0,0,1,0,0,1,0,0,0,0,0,19 %,
HS/2018/17068,1,1,0,0,1,1,1,0,1,0,0,56 %,
HS/2018/17069,0,0,1,1,0,0,1,0,0,0,0,31 %,
HS/2018/17071,0,0,1,1,0,0,0,0,0,0,0,19 %,
HS/2018/17073,1,0,1,1,1,1,1,0,1,0,0,69 %,
HS/2018/17075,0,0,1,1,0,0,1,0,1,0,0,44 %,
HS/2018/17077,0,0,0,0,1,0,0,0,0,0,0,6 %,
HS/2018/17079,0,0,0,0,0,1,1,0,0,0,0,19 %,
HS/2018/17080,0,1,0,0,0,0,1,0,1,0,0,31 %,
HS/2018/17081,1,0,1,1,1,1,0,0,1,0,0,56 %,
HS/2018/17082,0,0,0,0,0,1,1,0,0,0,0,19 %,
HS/2018/17086,0,0,1,0,0,0,1,0,1,0,0,38 %,
HS/2018/17100,0,0,1,1,0,0,1,0,1,0,0,44 %,
HS/2018/17105,0,0,0,0,1,1,0,0,1,0,0,25 %,
HS/2018/17107,0,0,0,0,0,1,1,0,0,0,0,19 %,
HS/2018/17111,0,0,0,0,0,0,0,0,0,0,0,0 %,
HS/2018/17112,0,0,0,0,0,1,0,0,0,0,0,6 %,
HS/2018/17113,0,0,0,1,0,0,0,0,0,0,0,6 %,
HS/2018/17119,0,0,0,0,0,0,0,0,0,0,0,0 %,
Total,52,79,163,123,97,149,185,0,156,0,0,
