Current Attendence Sheet Data of STS22623  |  All Type


-,2019-08-05-08:00:00-Lect-2H-ng,2019-08-05-08:00:00-Lect-2H-ng,2019-08-05-08:00:00-Lect-2H-ng,2019-08-09-08:00:00-Lect-2H-ng,2019-08-19-08:00:00-Lect-2H-ng,2019-08-23-08:00:00-Lect-2H-ng,2019-08-23-08:00:00-Lect-2H-ng,2019-12-23-08:00:00-Lect-2H-ng,2020-01-01-09:00:00-Lect-2H-ng,2020-01-03-08:00:00-Lect-2H-ng,2020-01-03-08:00:00-Lect-2H-ng,2020-01-13-09:00:00-Lect-2H-ng,2020-01-31-09:00:00-Lect-2H-ng,2020-02-03-09:00:00-Lect-2H-ng,2020-02-05-09:00:00-Lect-2H-ng,2020-02-07-09:00:00-Lect-2H-ng,2020-02-10-11:00:00-Lect-2H-ng,2020-02-17-09:00:00-Lect-2H-ng,2020-02-19-11:00:00-Lect-2H-ng,%
HS/2017/16179,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,84 %,
HS/2017/16206,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,89 %,
HS/2017/16259,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,84 %,
HS/2017/16572,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,89 %,
Total,2,0,3,4,4,4,4,2,4,3,4,4,4,4,4,4,4,4,4,
