Current Attendence Sheet Data of GEO21513  |  All Type


-,2019-02-26-16:00:00-Lect-1H-ng,2019-02-27-16:00:00-Lect-2H-ng,2019-03-05-16:00:00-Lect-1H-ng,2019-03-12-16:00:00-Lect-1H-ng,2019-03-13-16:00:00-Lect-2H-ng,2019-03-19-16:00:00-Lect-1H-ng,2019-03-26-16:00:00-Lect-1H-ng,2019-03-27-16:00:00-Lect-2H-ng,2019-04-02-16:00:00-Lect-1H-ng,2019-04-09-08:00:00-Lect-1H-ng,2019-05-15-16:00:00-Lect-2H-ng,2019-05-21-16:00:00-Lect-1H-ng,2019-05-22-16:00:00-Lect-2H-ng,2019-05-28-16:00:00-Lect-1H-ng,2019-05-29-16:00:00-Lect-2H-ng,2019-06-11-16:00:00-Lect-1H-ng,2019-06-18-16:00:00-Lect-1H-ng,2019-06-18-16:00:00-Lect-1H-ng,2019-06-19-16:00:00-Lect-2H-ng,2019-06-26-16:00:00-Lect-2H-ng,%
HS/2017/16145,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,0,1,0,1,36 %,
HS/2017/16146,0,0,1,0,0,1,1,0,1,0,0,1,0,1,1,1,1,0,1,0,43 %,
HS/2017/16147,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,0,0,1,1,1,46 %,
HS/2017/16153,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,21 %,
HS/2017/16155,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,11 %,
HS/2017/16156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7 %,
HS/2017/16158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 %,
HS/2017/16159,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,1,1,29 %,
HS/2017/16160,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7 %,
HS/2017/16161,0,0,1,0,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,68 %,
HS/2017/16166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 %,
HS/2017/16168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 %,
HS/2017/16169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 %,
HS/2017/16171,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,11 %,
HS/2017/16173,0,0,0,0,0,1,0,1,1,0,0,0,1,1,1,0,0,1,1,1,50 %,
HS/2017/16174,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,18 %,
