Current Attendence Sheet Data of HIS12513  |  All Type


-,2019-07-29-08:00:00-Lect-1H-ng,2019-07-31-10:00:00-Lect-2H-ng,2019-08-05-08:00:00-Lect-1H-ng,2019-08-07-10:00:00-Lect-2H-ng,2019-08-19-08:00:00-Lect-1H-ng,2019-08-21-10:00:00-Lect-2H-ng,2019-12-09-08:00:00-Lect-1H-ng,2019-12-16-08:00:00-Lect-1H-ng,2019-12-18-10:00:00-Lect-2H-ng,2019-12-30-08:00:00-Lect-1H-ng,2020-01-01-10:00:00-Lect-2H-ng,2020-01-06-08:00:00-Lect-1H-ng,2020-01-08-10:00:00-Lect-2H-ng,2020-01-13-08:00:00-Lect-1H-ng,2020-01-20-08:00:00-Lect-1H-ng,2020-01-22-10:00:00-Lect-3H-ng,2020-01-27-08:00:00-Lect-1H-ng,2020-01-29-10:00:00-Lect-2H-ng,2020-02-03-08:00:00-Lect-1H-ng,2020-02-05-10:00:00-Lect-1H-ng,2020-02-05-11:00:00-Lect-1H-ng,2020-02-10-08:00:00-Lect-1H-ng,2020-02-12-10:00:00-Lect-2H-ng,2020-02-17-08:00:00-Lect-1H-ng,2020-02-19-10:00:00-Lect-2H-ng,%
HS/2017/16446,0,0,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,78 %,
HS/2018/16622,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,97 %,
HS/2018/16624,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,92 %,
HS/2018/16625,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,94 %,
HS/2018/16627,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,89 %,
HS/2018/16628,1,1,1,1,1,1,M,1,1,1,M,M,1,1,1,1,1,1,1,1,1,M,M,M,1,100 %,
HS/2018/16633,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,92 %,
HS/2018/16634,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,94 %,
HS/2018/16635,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,97 %,
HS/2018/16636,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,100 %,
HS/2018/16638,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,94 %,
HS/2018/16639,0,0,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,86 %,
HS/2018/16640,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,100 %,
