Current Attendence Sheet Data of STS22643  |  All Type


-,2019-08-02-11:00:00-Lect-1H-ng,2019-08-08-11:00:00-Lect-1H-ng,2019-08-13-08:00:00-Lect-2H-ng,2019-08-16-11:00:00-Lect-1H-ng,2019-08-19-10:00:00-Lect-1H-ng,2019-08-19-15:00:00-Lect-1H-ng,2019-12-10-08:00:00-Lect-2H-ng,2019-12-17-08:00:00-Lect-2H-ng,2019-12-24-08:00:00-Lect-2H-ng,2019-12-31-08:00:00-Lect-2H-ng,2020-01-07-08:00:00-Lect-2H-ng,2020-01-14-08:00:00-Lect-2H-ng,2020-01-17-11:00:00-Lect-1H-ng,2020-01-28-08:00:00-Lect-2H-ng,2020-01-31-11:00:00-Lect-1H-ng,2020-02-07-11:00:00-Lect-1H-ng,2020-02-10-13:00:00-Lect-1H-ng,2020-02-11-10:00:00-Lect-2H-ng,%
HS/2017/16179,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,85 %,
HS/2017/16206,1,0,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,81 %,
HS/2017/16259,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,93 %,
HS/2017/16572,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,89 %,
Total,4,3,4,3,4,4,4,4,2,4,0,4,4,4,4,4,4,4,
