Current Attendence Sheet Data of HIS32653  |  All Type


-,2019-08-01-16:00:00-Lect-2H-ng,2019-08-02-13:00:00-Lect-1H-ng,2019-08-05-15:00:00-Lect-1H-ng,2019-08-08-16:00:00-Lect-1H-ng,2019-08-09-13:00:00-Lect-1H-ng,2019-12-06-13:00:00-Lect-2H-ng,2019-12-09-15:00:00-Lect-1H-ng,2019-12-13-13:00:00-Lect-2H-ng,2019-12-16-15:00:00-Lect-1H-ng,2019-12-27-13:00:00-Lect-2H-ng,2019-12-30-15:00:00-Lect-1H-ng,2020-01-03-13:00:00-Lect-2H-ng,2020-01-06-15:00:00-Lect-1H-ng,2020-01-13-15:00:00-Lect-1H-ng,2020-01-17-13:00:00-Lect-2H-ng,2020-01-20-15:00:00-Assi-1H-ng,2020-01-24-12:00:00-Lect-2H-ng,2020-01-27-15:00:00-Lect-1H-ng,2020-01-31-12:00:00-Lect-3H-ng,2020-02-03-15:00:00-Lect-1H-ng,2020-02-07-12:00:00-Lect-3H-ng,2020-02-10-13:00:00-Lect-1H-ng,2020-02-14-12:00:00-Lect-3H-ng,%
HS/2016/15877,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,86 %,
HS/2016/15878,1,1,1,1,1,1,1,1,E,0,1,1,1,1,1,1,1,1,1,1,1,1,1,94 %,
HS/2016/15882,1,1,1,1,1,1,1,E,E,0,1,1,1,1,1,1,1,1,1,1,1,1,1,94 %,
HS/2016/15884,0,0,0,1,1,1,1,M,1,M,1,1,1,1,1,1,1,1,1,1,1,1,1,89 %,
HS/2016/15888,1,1,1,1,1,1,1,1,1,E,1,1,1,1,1,1,1,1,1,1,1,1,1,100 %,
HS/2016/15893,E,E,E,1,0,1,E,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,86 %,
HS/2016/15894,E,E,E,1,E,1,E,E,E,0,1,1,1,1,1,1,1,1,1,1,1,1,1,94 %,
HS/2016/15902,1,M,M,1,1,1,M,M,1,M,M,1,1,M,1,1,1,1,1,1,1,1,1,100 %,
HS/2016/15905,M,M,M,M,M,0,1,1,1,E,1,1,1,1,1,1,1,1,1,1,1,1,1,94 %,
HS/2016/15913,1,1,1,1,1,1,1,1,1,E,1,1,1,1,1,1,1,0,1,1,1,1,1,97 %,
HS/2016/15914,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,92 %,
HS/2016/15917,0,0,0,0,0,1,0,0,1,E,1,1,0,1,0,1,0,1,0,0,1,1,1,50 %,
HS/2016/15920,1,1,1,1,1,1,1,1,E,1,1,1,1,1,1,1,1,1,1,1,1,1,1,100 %,
HS/2016/15923,M,M,M,M,M,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,86 %,
HS/2016/15929,1,1,1,1,E,1,1,1,E,0,1,1,1,1,1,1,1,1,1,1,1,1,1,94 %,
HS/2016/15933,0,0,0,0,1,1,1,1,1,E,1,1,1,1,1,1,1,1,1,1,1,1,1,86 %,
HS/2016/15938,0,0,0,1,0,1,1,1,1,E,1,1,1,1,1,1,1,1,1,1,1,1,1,86 %,
HS/2016/15940,1,1,1,1,1,1,1,1,1,E,0,1,1,1,1,1,1,1,1,1,1,1,1,97 %,
HS/2016/15941,0,E,E,0,0,1,1,1,0,E,0,1,1,1,1,1,1,0,1,1,1,1,1,81 %,
HS/2016/15942,0,0,0,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,81 %,
HS/2016/15947,1,1,1,1,1,1,1,1,E,1,1,1,1,1,1,1,1,1,1,1,1,1,1,100 %,
HS/2016/15956,1,1,1,1,1,1,1,1,E,1,1,1,1,1,1,1,1,1,1,1,1,1,1,100 %,
HS/2016/15957,1,1,1,1,E,1,1,1,E,1,1,1,1,1,1,1,1,1,1,1,1,1,1,100 %,
HS/2016/15958,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,100 %,
HS/2016/15973,1,1,1,1,E,1,1,1,E,1,1,1,1,1,1,1,1,1,1,1,1,1,1,100 %,
HS/2016/15975,0,0,0,1,1,1,0,E,1,E,1,1,1,1,1,1,1,1,1,1,1,1,1,86 %,
HS/2016/15980,0,0,0,1,1,1,1,1,1,E,1,1,1,1,1,1,1,1,1,1,1,1,1,89 %,
