Current Attendence Sheet Data of SUP22523  |  All Type


-,2019-07-31-14:00:00-Lect-1H-ng,2019-08-01-13:00:00-Lect-2H-ng,2019-08-07-14:00:00-Lect-1H-ng,2019-08-08-13:00:00-Lect-2H-ng,2019-08-15-13:00:00-Lect-2H-ng,2019-08-21-14:00:00-Lect-1H-ng,2019-08-22-13:00:00-Lect-2H-ng,2019-12-12-13:00:00-Lect-2H-ng,2019-12-18-14:00:00-Lect-1H-ng,2019-12-19-13:00:00-Lect-2H-ng,2020-01-01-14:00:00-Lect-1H-ng,2020-01-02-13:00:00-Lect-2H-ng,2020-01-08-14:00:00-Lect-1H-ng,2020-01-09-13:00:00-Lect-2H-ng,2020-01-16-13:00:00-Lect-2H-ng,2020-01-22-14:00:00-Lect-1H-ng,2020-01-23-13:00:00-Lect-2H-ng,2020-01-29-14:00:00-Lect-1H-ng,2020-01-30-13:00:00-Lect-2H-ng,2020-02-05-14:00:00-Lect-1H-ng,2020-02-06-13:00:00-Lect-2H-ng,2020-02-12-14:00:00-Lect-1H-ng,2020-02-13-13:00:00-Lect-2H-ng,2020-02-19-14:00:00-Lect-1H-ng,2020-02-20-13:00:00-Lect-2H-ng,%
HS/2017/16243,1,1,M,1,1,1,1,1,0,1,M,1,M,M,1,M,0,1,0,1,1,1,1,0,0,79 %,
HS/2017/16244,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,1,1,0,1,1,1,44 %,
HS/2017/16250,1,1,0,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,82 %,
HS/2017/16253,1,1,1,1,1,0,0,0,0,1,1,1,0,1,0,1,1,1,0,1,1,1,1,1,1,72 %,
HS/2017/16254,M,M,1,1,1,1,M,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,90 %,
HS/2017/16256,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,97 %,
HS/2017/16260,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,90 %,
HS/2017/16261,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5 %,
HS/2017/16263,E,M,M,M,M,M,M,E,1,1,1,1,E,1,1,1,1,1,1,1,1,1,1,1,1,100 %,
HS/2017/16267,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,87 %,
HS/2017/16270,0,0,1,1,1,0,0,1,1,1,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,41 %,
HS/2017/16271,0,0,0,1,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,21 %,
HS/2017/16273,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,90 %,
HS/2017/16276,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,87 %,
HS/2017/16277,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,100 %,
HS/2017/16279,1,0,0,1,0,0,0,1,1,1,1,1,0,1,0,1,1,0,0,1,0,0,0,0,0,44 %,
HS/2017/16280,0,0,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,85 %,
HS/2017/16281,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,85 %,
HS/2017/16283,1,1,1,1,0,M,M,1,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,82 %,
HS/2017/16286,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,90 %,
HS/2017/16287,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,97 %,
HS/2017/16288,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,87 %,
HS/2017/16290,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,0,0,1,82 %,
HS/2017/16292,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,95 %,
HS/2017/16297,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,100 %,
HS/2017/16300,1,1,1,1,1,1,1,1,1,1,1,1,M,M,M,M,M,M,M,M,M,M,0,1,1,95 %,
HS/2017/16305,0,0,1,1,0,0,0,1,1,0,1,0,0,0,1,1,1,0,0,1,0,1,0,0,0,36 %,
HS/2017/16311,1,1,1,1,0,0,0,1,1,1,1,0,0,1,0,1,0,1,0,1,0,0,0,0,0,44 %,
HS/2017/16313,1,0,1,1,0,0,0,1,1,0,0,0,0,0,1,1,1,1,0,0,1,1,0,1,1,49 %,
HS/2017/16317,0,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,1,72 %,
HS/2017/16321,1,1,M,1,1,1,1,1,1,1,M,1,M,M,M,M,0,1,1,1,1,1,0,1,1,90 %,
HS/2017/16322,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,0,0,1,1,85 %,
HS/2017/16323,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,1,87 %,
HS/2017/16324,1,1,1,1,0,0,1,0,1,1,1,1,0,1,E,1,1,1,1,1,1,1,1,1,1,85 %,
HS/2017/16330,0,0,0,1,1,0,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,0,64 %,
HS/2017/16334,0,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,0,1,1,82 %,
HS/2017/16337,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,90 %,
HS/2017/16338,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,0,1,1,87 %,
HS/2017/16340,0,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,82 %,
HS/2017/16341,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,0,1,1,79 %,
HS/2017/16345,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,87 %,
HS/2017/16346,1,1,0,1,0,0,0,0,1,1,1,1,0,0,1,0,1,1,1,1,1,1,0,1,1,64 %,
HS/2017/16347,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,87 %,
HS/2017/16354,1,0,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,87 %,
HS/2017/16357,1,1,0,1,0,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,74 %,
HS/2017/16359,0,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,85 %,
HS/2017/16360,1,1,1,1,0,1,1,1,1,1,0,1,0,1,0,1,1,1,0,1,1,1,0,1,0,69 %,
HS/2017/16368,0,0,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,79 %,
HS/2017/16371,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1,85 %,
HS/2017/16373,E,1,E,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0,0,1,0,79 %,
HS/2017/16375,0,1,1,0,0,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,0,1,1,72 %,
HS/2017/16377,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,92 %,
HS/2017/16378,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,87 %,
HS/2017/16381,1,0,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,85 %,
HS/2017/16390,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,92 %,
HS/2017/16393,M,M,1,1,1,0,0,0,1,1,1,1,1,0,1,1,0,1,0,1,1,1,1,1,1,72 %,
HS/2017/16394,0,0,0,1,0,0,0,1,1,0,1,1,1,0,1,1,0,0,1,1,1,1,1,1,1,59 %,
HS/2017/16395,1,1,1,1,1,0,0,0,1,1,0,0,0,1,1,1,1,1,0,0,1,1,0,0,0,56 %,
HS/2017/16398,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,92 %,
HS/2017/16399,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,92 %,
HS/2017/16400,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,0,1,87 %,
HS/2017/16402,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,79 %,
HS/2017/16403,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,10 %,
HS/2017/16404,1,1,0,1,1,1,E,0,0,1,1,1,0,0,0,1,1,1,0,1,1,1,0,1,0,62 %,
HS/2017/16409,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,82 %,
HS/2017/16410,1,1,1,1,0,1,1,1,1,1,1,1,E,1,1,1,1,1,0,1,1,1,1,1,1,90 %,
HS/2017/16411,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,85 %,
HS/2017/16412,0,0,0,1,1,0,1,0,1,1,1,1,1,1,0,1,1,1,0,1,1,0,0,1,1,64 %,
HS/2017/16413,1,1,1,0,1,0,1,1,1,1,1,1,0,0,1,1,1,0,0,1,1,0,0,1,1,69 %,
HS/2017/16416,1,0,1,1,1,M,M,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,0,1,1,79 %,
HS/2017/16423,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,92 %,
HS/2017/16427,0,0,0,0,1,1,0,1,1,1,1,1,1,0,0,1,1,0,0,M,0,1,0,1,1,51 %,
HS/2017/16432,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,1,1,0,1,1,1,87 %,
