Current Attendence Sheet Data of HIS32513  |  All Type


-,2019-07-31-14:00:00-Lect-2H-ng,2019-08-07-14:00:00-Lect-2H-ng,2019-08-08-12:00:00-Lect-1H-ng,2019-08-09-08:00:00-Lect-1H-ng,2019-08-16-08:00:00-Lect-1H-ng,2019-08-21-08:00:00-Lect-1H-ng,2019-08-21-15:00:00-Lect-1H-ng,2019-12-13-08:00:00-Lect-1H-ng,2019-12-18-14:00:00-Lect-2H-ng,2019-12-20-08:00:00-Lect-1H-ng,2019-12-27-08:00:00-Lect-1H-ng,2020-01-01-14:00:00-Lect-2H-ng,2020-01-03-08:00:00-Lect-1H-ng,2020-01-08-14:00:00-Lect-2H-ng,2020-01-17-08:00:00-Lect-1H-ng,2020-01-22-14:00:00-Lect-2H-ng,2020-01-24-08:00:00-Lect-1H-ng,2020-01-29-14:00:00-Lect-2H-ng,2020-01-31-08:00:00-Lect-1H-ng,2020-02-05-14:00:00-Lect-2H-ng,2020-02-07-08:00:00-Lect-1H-ng,2020-02-12-14:00:00-Lect-2H-ng,2020-02-13-08:00:00-Lect-1H-ng,2020-02-19-13:00:00-Lect-3H-ng,%
HS/2016/15952,0,1,0,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,86 %,
HS/2016/15978,0,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,89 %,
HS/2016/15987,0,1,1,1,0,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,86 %,
HS/2016/15996,M,1,M,1,M,1,1,M,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,0,86 %,
HS/2016/16009,0,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,89 %,
HS/2016/16020,M,M,M,0,M,1,0,0,M,0,0,M,1,M,1,1,1,1,1,1,1,1,1,1,86 %,
HS/2016/16021,0,1,0,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,86 %,
HS/2016/16022,1,0,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,89 %,
HS/2016/16035,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,17 %,
HS/2016/16039,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,11 %,
HS/2016/16041,M,1,M,1,1,1,1,M,M,M,M,M,1,1,1,1,M,M,M,1,1,M,E,0,91 %,
HS/2016/16045,0,1,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,86 %,
HS/2016/16046,M,1,1,0,0,1,0,0,1,M,M,1,0,1,1,1,1,1,1,1,1,1,1,1,86 %,
HS/2016/16049,M,M,M,M,1,1,M,M,1,M,M,M,1,M,M,1,M,1,M,1,1,1,M,0,91 %,
HS/2016/16050,M,0,1,M,M,1,0,M,M,1,M,0,0,M,1,1,1,1,1,1,1,1,1,1,83 %,
HS/2016/16095,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,86 %,
HS/2016/16102,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,0,91 %,
HS/2016/16106,0,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,89 %,
HS/2016/16112,1,1,0,1,1,1,1,E,1,1,E,1,1,1,E,1,1,1,1,E,1,1,1,0,89 %,
HS/2016/16113,0,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,89 %,
HS/2016/16117,E,1,1,1,E,1,1,E,E,E,E,E,E,E,0,1,E,1,0,E,1,0,E,0,80 %,
HS/2016/16122,E,1,1,E,E,1,1,E,1,E,E,E,E,1,E,1,E,1,E,0,1,0,E,0,80 %,
HS/2016/16124,1,1,1,1,0,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,91 %,
HS/2016/16125,E,1,E,1,E,1,1,E,1,E,E,1,0,1,E,1,0,1,E,0,1,E,E,0,80 %,
HS/2016/16130,1,0,1,0,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,86 %,
HS/2016/16134,E,M,M,1,M,1,M,E,E,0,E,0,E,1,0,E,0,E,0,E,1,1,0,E,80 %,
HS/2016/16136,M,1,M,M,M,1,1,M,1,M,M,M,0,M,0,1,M,0,M,M,1,0,M,M,83 %,
HS/2016/16138,M,M,1,1,M,1,M,0,E,0,E,0,E,1,0,E,0,1,1,1,1,1,E,1,83 %,
Total,39,63,60,57,58,69,59,26,67,63,31,65,60,68,63,69,58,67,65,66,70,64,63,51,
