Current Attendence Sheet Data of SUP22623  |  All Type


-,2019-07-31-14:00:00-Lect-1H-ng,2019-08-01-13:00:00-Lect-2H-ng,2019-08-07-14:00:00-Lect-1H-ng,2019-08-08-13:00:00-Lect-2H-ng,2019-08-15-13:00:00-Lect-2H-ng,2019-08-21-14:00:00-Lect-1H-ng,2019-08-22-13:00:00-Lect-2H-ng,2019-12-12-13:00:00-Lect-2H-ng,2019-12-18-14:00:00-Lect-1H-ng,2019-12-19-13:00:00-Lect-2H-ng,2019-12-24-10:00:00-Lect-2H-ng,2020-01-01-14:00:00-Lect-1H-ng,2020-01-02-13:00:00-Lect-2H-ng,2020-01-14-10:00:00-Lect-2H-ng,2020-01-16-13:00:00-Lect-2H-ng,2020-01-17-10:00:00-Lect-2H-ng,2020-01-22-14:00:00-Lect-1H-ng,2020-01-28-10:00:00-Lect-2H-ng,2020-01-29-14:00:00-Lect-1H-ng,2020-02-05-14:00:00-Lect-1H-ng,2020-02-06-13:00:00-Lect-2H-ng,2020-02-12-14:00:00-Lect-1H-ng,2020-02-20-13:00:00-Lect-2H-ng,%
HS/2017/16231,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,81 %,
HS/2017/16234,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,0,84 %,
HS/2017/16235,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,0,81 %,
HS/2017/16238,1,1,1,1,1,1,1,1,1,1,1,E,1,1,1,1,1,1,1,E,1,1,0,95 %,
HS/2017/16239,1,1,1,0,1,1,0,1,0,1,1,0,1,1,1,1,1,1,0,1,1,1,0,76 %,
HS/2017/16241,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,95 %,
HS/2017/16242,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,16 %,
HS/2017/16246,M,1,1,1,1,1,M,1,1,1,1,M,M,1,1,1,1,1,1,1,1,1,0,95 %,
HS/2017/16247,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,95 %,
HS/2017/16248,M,M,1,1,1,1,1,1,1,M,1,1,1,1,1,1,1,1,0,1,1,1,0,92 %,
HS/2017/16251,1,1,1,1,0,0,0,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,0,76 %,
HS/2017/16252,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,0,73 %,
HS/2017/16257,0,1,1,1,1,0,1,1,0,1,1,1,1,1,1,0,1,1,1,0,1,1,0,78 %,
HS/2017/16258,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,0,1,0,78 %,
HS/2017/16262,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,89 %,
HS/2017/16264,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,84 %,
HS/2017/16265,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,78 %,
HS/2017/16266,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,92 %,
HS/2017/16272,0,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,78 %,
HS/2017/16274,1,1,1,1,0,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,78 %,
HS/2017/16278,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,84 %,
HS/2017/16282,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,84 %,
HS/2017/16284,0,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,78 %,
HS/2017/16285,1,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,78 %,
HS/2017/16289,M,M,M,1,1,M,0,1,1,1,1,1,0,0,1,1,1,1,0,1,1,1,0,76 %,
HS/2017/16291,1,1,0,1,M,M,1,1,M,1,1,M,M,1,1,1,M,M,1,0,1,1,0,89 %,
HS/2017/16293,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,86 %,
HS/2017/16294,0,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,78 %,
HS/2017/16295,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,92 %,
HS/2017/16298,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,0,86 %,
HS/2017/16299,0,0,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,76 %,
HS/2017/16301,0,0,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,1,0,1,1,1,0,41 %,
HS/2017/16302,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,92 %,
HS/2017/16303,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,89 %,
HS/2017/16304,0,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,0,1,1,1,0,84 %,
HS/2017/16306,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,84 %,
HS/2017/16307,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,89 %,
HS/2017/16308,1,1,0,1,0,1,0,1,1,1,1,M,M,1,1,1,1,1,0,1,1,1,0,78 %,
HS/2017/16309,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,0,81 %,
HS/2017/16310,M,1,M,1,M,M,M,M,M,M,1,M,M,M,1,M,0,0,M,M,0,0,0,78 %,
HS/2017/16312,1,1,1,1,1,0,0,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,0,81 %,
HS/2017/16314,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,1,1,0,81 %,
HS/2017/16315,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,0,86 %,
HS/2017/16316,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,0,78 %,
HS/2017/16318,0,M,M,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,84 %,
HS/2017/16319,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,0,81 %,
HS/2017/16320,0,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,0,78 %,
HS/2017/16325,0,1,1,1,1,0,1,1,0,1,1,0,1,0,1,0,1,1,0,0,1,1,0,68 %,
HS/2017/16326,1,1,1,1,0,1,1,1,0,0,1,1,1,0,1,1,1,1,0,0,1,1,0,70 %,
HS/2017/16327,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,1,1,0,0,0,0,0,30 %,
HS/2017/16328,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,92 %,
HS/2017/16329,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,81 %,
HS/2017/16331,0,1,0,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,78 %,
HS/2017/16332,0,0,0,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1,0,73 %,
HS/2017/16333,0,1,0,1,1,0,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,0,0,76 %,
HS/2017/16335,E,1,1,1,1,E,1,1,E,1,1,0,1,0,1,0,1,1,0,0,1,1,0,76 %,
HS/2017/16336,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,0,84 %,
HS/2017/16339,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,92 %,
HS/2017/16342,0,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,78 %,
HS/2017/16343,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,86 %,
HS/2017/16348,0,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,78 %,
HS/2017/16349,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,22 %,
