Current Attendence Sheet Data of FDN11523  |  All Type


-,2019-02-25-09:00:00-Lect-2H-ng,2019-02-25-16:00:00-Prac-2H-FEB5-A,2019-02-27-15:00:00-Prac-2H-FEB5-B,2019-02-28-14:00:00-Prac-2H-FEB5-C,2019-03-01-16:00:00-Prac-2H-MAR1-D,2019-03-06-15:00:00-Prac-2H-MAR2-B,2019-03-07-14:00:00-Prac-2H-MAR2-C,2019-03-08-16:00:00-Prac-2H-MAR2-D,2019-03-11-09:00:00-Lect-2H-ng,2019-03-11-14:00:00-Prac-2H-MAR3-A,2019-03-13-15:00:00-Prac-2H-MAR3-B,2019-03-14-14:00:00-Prac-2H-MAR3-C,2019-03-15-16:00:00-Prac-2H-MAR3-D,2019-03-18-09:00:00-Lect-2H-ng,2019-03-18-16:00:00-Prac-2H-MAR4-A,2019-03-21-14:00:00-Prac-2H-MAR4-C,2019-03-22-16:00:00-Prac-2H-MAR4-D,2019-03-25-09:00:00-Lect-2H-ng,2019-03-25-16:00:00-Prac-2H-MAR5-A,2019-03-27-15:00:00-Prac-2H-MAR5-B,2019-03-28-14:00:00-Prac-2H-MAR5-C,2019-03-29-16:00:00-Prac-2H-MAR5-D,2019-04-01-09:00:00-Lect-2H-ng,2019-04-01-16:00:00-Prac-2H-APR1-A,2019-04-03-15:00:00-Prac-2H-APR1-B,2019-04-04-14:00:00-Prac-2H-APR1-C,2019-04-05-16:00:00-Prac-2H-APR1-D,2019-04-08-09:00:00-Lect-2H-ng,2019-04-08-16:00:00-Prac-2H-APR2-A,2019-04-10-15:00:00-Prac-2H-APR2-B,2019-05-22-15:00:00-Prac-2H-MAY4-B,2019-05-23-14:00:00-Prac-2H-MAY4-C,2019-05-24-16:00:00-Prac-2H-MAY4-D,2019-05-27-09:00:00-Lect-2H-ng,2019-05-27-16:00:00-Prac-2H-MAY5-A,2019-05-29-15:00:00-Prac-2H-MAY5-B,2019-05-30-14:00:00-Prac-2H-MAY5-C,2019-05-31-16:00:00-Prac-2H-MAY5-D,2019-06-03-09:00:00-Lect-2H-ng,2019-06-03-16:00:00-Prac-2H-JUN2-A,2019-06-06-14:00:00-Prac-2H-JUN2-C,2019-06-07-16:00:00-Prac-2H-JUN2-D,2019-06-10-09:00:00-Lect-2H-ng,2019-06-10-16:00:00-Prac-2H-JUN3-A,2019-06-12-15:00:00-Prac-2H-JUN3-B,2019-06-13-14:00:00-Prac-2H-JUN3-C,2019-06-14-16:00:00-Prac-2H-JUN3-D,2019-06-17-09:00:00-Lect-2H-ng,2019-06-17-16:00:00-Prac-2H-JUN4-A,2019-06-19-15:00:00-Prac-2H-JUN4-B,2019-06-20-14:00:00-Prac-2H-JUN4-C,2019-06-21-16:00:00-Prac-2H-JUN4-D,2019-06-24-09:00:00-Lect-2H-ng,2019-06-24-16:00:00-Prac-2H-JUN5-A,2019-06-26-15:00:00-Prac-2H-JUN5-B,2019-06-27-14:00:00-Prac-2H-JUN5-C,2019-06-28-16:00:00-Prac-2H-JUN5-D,2019-07-01-16:00:00-Prac-2H-JULY1-A,%
HS/2018/16636,0, ,0, , ,0, , ,0,1,1, , ,1, , , ,0, ,0, , ,0, ,0, , ,1, ,0,1, , ,1, ,0, , ,0, , , ,0, ,0, , ,1, ,0, , ,1, ,1, , , ,35 %,
HS/2018/16637,0, ,1, , ,0, , ,0, ,0, , ,0, , , ,0, ,0, , ,0, ,0, , ,0, ,0,0, , ,1, ,0, , ,0, , , ,0, ,0, , ,1, ,0, , ,1, ,0, , , ,15 %,
HS/2018/16638,0,0,1, , , , , ,1,1, , , ,0,0, , ,0,0, , , ,0,0, , , ,0,0, , , , ,1,1, , , ,0,0, , ,0,1, , , ,0,0, , , ,1,1, , , ,0,31 %,
HS/2018/16639,0, ,1, , ,0, , ,1, ,0, , ,0, , , ,0, ,0, , ,0, ,1, , ,0, ,0,0, , ,1, ,0, , ,0, , , ,0, ,0, , ,0, ,0, , ,1, ,0, , , ,19 %,
HS/2018/16640,0,0,1, , , , , ,1,1, , , ,1,1, , ,0,0, , , ,1,1, , , ,1,0, , , , ,1,1, , , ,0,0, , ,0,1, , , ,1,1, , , ,1,1, , , ,1,62 %,
HS/2018/16641,0,0,1, , , , , ,1,1, , , ,0,0, , ,0,0, , , ,1,1, , , ,1,0, , , , ,1,1, , , ,0,0, , ,1,0, , , ,1,0, , , ,0,0, , , ,0,38 %,
HS/2018/16642,0,0,1, , , , , ,1,1, , , ,1,1, , ,0,0, , , ,1,1, , , ,0,0, , , , ,1,1, , , ,0,0, , ,0,0, , , ,0,0, , , ,0,0, , , ,1,38 %,
HS/2018/16643,0,0,1, , , , , ,1,1, , , ,1,1, , ,0,0, , , ,1,1, , , ,0,0, , , , ,1,1, , , ,0,0, , ,0,1, , , ,0,0, , , ,1,1, , , ,1,50 %,
HS/2018/16644,0,0,1, , , , , ,1,1, , , ,1,1, , ,0,0, , , ,1,1, , , ,0,0, , , , ,1,1, , , ,0,0, , ,1,0, , , ,1,0, , , ,1,1, , , ,0,50 %,
HS/2018/16645,0,0,1, , , , , ,1,1, , , ,1,1, , ,0,0, , , ,1,1, , , ,1,1, , , , ,1,1, , , ,0,0, , ,0,1, , , ,0,0, , , ,1,1, , , ,1,58 %,
HS/2018/16646,0, ,1, , ,0, , ,1, ,1, , ,1, , , ,0, ,1, , ,1, ,0, , ,0, ,0,1, , ,1, ,0, , ,0, , , ,0, ,0, , ,1, ,0, , ,1, ,1, , , ,42 %,
HS/2018/16647,0,0,1, , , , , ,1,1, , , ,0,0, , ,0,0, , , ,0,0, , , ,0,0, , , , ,0,1, , , ,0,0, , ,0,1, , , ,1,1, , , ,1,0, , , ,0,31 %,
HS/2018/16648,0, ,1, , ,0, , ,1, ,1, , ,1, , , ,0, ,1, , ,1, ,0, , ,1, ,0,1, , ,1, ,0, , ,0, , , ,0, ,0, , ,1, ,0, , ,0, ,1, , , ,42 %,
HS/2018/16649,0, ,1, , ,0, , ,1, ,0, , ,1, , , ,0, ,1, , ,0, ,1, , ,1, ,0,1, , ,1, ,0, , ,0, , , ,1, ,0, , ,1, ,0, , ,0, ,1, , , ,42 %,
HS/2018/16651,0,0,1, , , , , ,1,1, , , ,1,1, , ,0,0, , , ,1,1, , , ,0,0, , , , ,1,1, , , ,0,0, , ,0,1, , , ,1,0, , , ,1,0, , , ,1,50 %,
HS/2018/16652,0, ,1, , ,0, , ,1, ,0, , ,1, , , ,0, ,0, , ,0, ,0, , ,1, ,0,1, , ,0, ,0, , ,0, , , ,0, ,0, , ,1, ,0, , ,0, ,0, , , ,23 %,
HS/2018/16654,0, ,0, , ,0, , ,1, ,1, , ,1, , , ,0, ,1, , ,1, ,0, , ,0, ,0,1, , ,1, ,0, , ,0, , , ,1, ,0, , ,0, ,0, , ,1, ,0, , , ,35 %,
HS/2018/16655,0,0,1, , , , , ,1,1, , , ,0,0, , ,0,0, , , ,1,1, , , ,0,0, , , , ,1,1, , , ,0,0, , ,0,1, , , ,0,0, , , ,0,0, , , ,1,35 %,
HS/2018/16656,0,0,1, , , , , ,1,1, , , ,0,0, , ,0,0, , , ,1,1, , , ,1,0, , , , ,1,1, , , ,0,0, , ,0,1, , , ,1,1, , , ,1,0, , , ,1,50 %,
HS/2018/16657,0,0,1, , , , , ,1,1, , , ,1,1, , ,0,0, , , ,0,0, , , ,0,0, , , , ,1,1, , , ,0,0, , ,0,1, , , ,0,0, , , ,1,1, , , ,1,42 %,
HS/2018/16658,0, ,1, , ,0, , ,1, ,0, , ,1, , , ,0, ,0, , ,1,1,0, , ,1, ,0,0, , ,0, ,0, , ,0, , , ,0, ,0, , ,1, ,0, , ,0, ,0, , , ,27 %,
HS/2018/16659,0,0,1, , , , , ,1,1, , , ,0,0, , ,0,0, , , ,1,1, , , ,1,1, , , , ,1,1, , , ,0,0, , ,0,1, , , ,1,1, , , ,1,1, , , ,1,58 %,
HS/2018/16660,0,0,1, , , , , ,1,1, , , ,1,1, , ,0,0, , , ,0,1, , , ,1,1, , , , ,1,1, , , ,0,0, , ,0,0, , , ,1,1, , , ,0,0, , , ,1,50 %,
HS/2018/16661,0, ,1, , ,0, , ,1, ,1, , ,0, , , ,0, ,1, , ,1, ,0, , ,1, ,0,1, , ,1, ,0, , ,0, , , ,0, ,0, , ,1, ,0, , ,1, ,1, , , ,42 %,
HS/2018/16662,0,0,1, , , , , ,1,1, , , ,0,0, , ,0,0, , , ,1,1, , , ,1,1, , , , ,1,1, , , ,0,0, , ,1,0, , , ,1,1, , , ,1,1, , , ,1,58 %,
HS/2018/16663,0,0,1, , , , , ,1,1, , , ,1,1, , ,0,0, , , ,1,1, , , ,0,0, , , , ,1,1, , , ,0,0, , ,0,1, , , ,0,0, , , ,1,1, , , ,0,46 %,
HS/2018/16664,0,0, ,1, , , , ,1,0, , , ,1,1, , ,0,0, , , ,1,1, , , ,0,0, , , , ,1,1, , , ,0,0, , ,0,1, , , ,1,1, , , ,0,0, , , ,1,46 %,
HS/2018/16665,0,0, , , , , , ,1,1, , , ,0,0, , ,0,0, , , ,0,0, , , ,1,1, , , , ,1,1, , , ,0,0, , ,0,0, , , ,1,1, , , ,1,1, , , ,1,42 %,
HS/2018/16666,0,0,1, , , , , ,1,1, , , ,1,1, , ,0,0, , , ,1,1, , , ,1,1, , , , ,1,1, , , ,0,0, , ,0,1, , , ,1,1, , , ,1,1, , , ,1,65 %,
HS/2018/16667,0,0,1, , , , , ,0,0, , , ,1,1, , ,0,0, , , ,1,0, , , ,1,0, , , , ,1,0, , , ,0,0, , ,1,1, , , ,1,1, , , ,1,1, , , ,0,46 %,
HS/2018/16668,0,0,1, , , , , ,1,1, , , ,1,0, , ,0,0, , , ,1,1, , , ,0,0, , , , ,1,0, , , ,0,0, , ,0,1, , , ,1,1, , , ,0,0, , , ,0,38 %,
HS/2018/16669,0,1, , , , , , ,1,1, , , ,0,0, , ,0,0, , , ,0,0, , , ,0,0, , , , ,1,1, , , ,0,0, , ,0,1, , , ,0,0, , , ,1,1, , , ,1,35 %,
HS/2018/16670,0,0,1, , , , , ,1,0, , , ,0,0, , ,0,0, , , ,1,1, , , ,0,0, , , , ,1,1, , , ,0,0, , ,0,1, , , ,0,0, , , ,0,0, , , ,1,31 %,
HS/2018/16671,0, ,1, , ,0, , ,1, ,0, , ,1, , , ,0, ,1, , ,1, ,1, , ,1, ,0,1, , ,1, ,0, , ,0, , , ,0, ,0, , ,1, ,0, , ,1, ,1, , , ,46 %,
HS/2018/16672,0,0,1, , , , , ,0,0, , , ,0,0, , ,0,0, , , ,1,1, , , ,0,0, , , , ,0,0, , , ,0,0, , ,0,1, , , ,1,0, , , ,1,0, , , ,0,23 %,
HS/2018/16673,0,1, , , , , , ,1,1, , , ,1,0, , ,0,0, , , ,0,0, , , ,1,0, , , , ,1,1, , , ,0,0, , ,0,0, , , ,1,1, , , ,0,0, , , ,0,35 %,
HS/2018/16674,0,0,1, , , , , ,1,1, , , ,1,1, , ,0,0, , , ,0,0, , , ,0,0, , , , ,1,1, , , ,0,0, , ,0,1, , , ,0,0, , , ,1,1, , , ,1,42 %,
HS/2018/16675,0,0,1, , , , , ,1,1, , , ,0,0, , ,0,0, , , ,1,0, , , ,1,1, , , , ,1,1, , , ,0,0, , ,0,1, , , ,0,0, , , ,1,1, , , ,0,42 %,
HS/2018/16676,0,1, , , , , , ,1,0, , , ,0,1, , ,0,0, , , ,0,0, , , ,1,0, , , , ,0,0, , , ,0,0, , ,0,1, , , ,0,0, , , ,1,1, , , ,1,31 %,
HS/2018/16677,0,1, , , , , , ,0,1, , , ,1,1, , ,0,0, , , ,1,1, , , ,1,0, , , , ,1,1, , , ,0,0, , ,0,0, , , ,0,1, , , ,0,0, , , ,1,42 %,
HS/2018/16678,0,0,1, , , , , ,1,1, , , ,1,1, , ,0,0, , , ,1,1, , , ,1,1, , , , ,1,1, , , ,0,0, , ,0,1, , , ,1,1, , , ,1,1, , , ,0,62 %,
HS/2018/16679,0,0,1, , , , , ,1,1, , , ,1,0, , ,0,0, , , ,0,0, , , ,0,0, , , , ,1,1, , , ,0,0, , ,0,0, , , ,0,0, , , ,0,0, , , ,0,23 %,
HS/2018/16680,0, , ,1, , ,0, ,0, , ,0, ,0, ,0, ,0, , ,0, ,1, , ,0, ,0, , , ,0, ,1, , ,0, ,0, ,0, ,0, , ,0, ,0, , ,0, ,1, , ,0, , ,15 %,
HS/2018/16681,0, ,0,1, ,0, , ,1, ,0, , ,0, , , ,0, ,1, , ,0, ,1, , ,0, ,0,1, , ,1, ,0, , ,0, , , ,0, ,0, , ,1, ,0, , ,1, ,1, , , ,35 %,
HS/2018/16682,0,0,1, , , , , ,1,1, , , ,1,1, , ,0,0, , , ,0,0, , , ,0,0, , , , ,1,1, , , ,0,0, , ,0,0, , , ,1,0, , , ,0,0, , , ,1,35 %,
HS/2018/16683,0,0,1, , , , , ,1,0, , , ,1,1, , ,0,0, , , ,1,1, , , ,0,0, , , , ,1,1, , , ,0,0, , ,0,1, , , ,1,0, , , ,1,1, , , ,1,50 %,
HS/2018/16684,0,0,1, , , , , ,0,0, , , ,1,1, , ,0,0, , , ,1,1, , , ,0,0, , , , ,1,0, , , ,0,0, , ,0,0, , , ,1,1, , , ,1,1, , , ,1,42 %,
HS/2018/16686,0,0,1, , , , , ,1,1, , , ,0,0, , ,0,0, , , ,1,1, , , ,1,0, , , , ,1,1, , , ,0,0, , ,0,1, , , ,0,0, , , ,0,0, , , ,0,35 %,
HS/2018/16687,0,0,1, , , , , ,0,1, , , ,0,0, , ,0,0, , , ,0,0, , , ,1,1, , , , ,1,1, , , ,0,0, , ,0,0, , , ,1,1, , , ,0,0, , , ,0,31 %,
HS/2018/16688,0,0,1, , , , , ,1,1, , , ,1,1, , ,0,0, , , ,0,0, , , ,1,1, , , , ,1,1, , , ,0,0, , ,0,1, , , ,0,0, , , ,1,0, , , ,0,42 %,
HS/2018/16689,0,0,1, , , , , ,1,0, , , ,1,1, , ,0,0, , , ,0,0, , , ,1,0, , , , ,1,1, , , ,0,0, , ,0,1, , , ,0,0, , , ,1,1, , , ,1,42 %,
HS/2018/16690,0, ,1, , ,0, , ,1, ,1, , ,1, , , ,0, ,1, , ,1, ,0, , ,1, ,0,0, , ,1, ,0, , ,0, , , ,0, ,0, , ,1, ,0, , ,0, ,0, , , ,35 %,
HS/2018/16691,0,0, ,1, , , , ,1,1, , , ,1,1, , ,0,0, , , ,0,0, , , ,1,1, , , , ,1,1, , , ,0,0, , ,0,0, , , ,1,1, , , ,1,0, , , ,0,46 %,
HS/2018/16692,0,0,1, , , , , ,1,1, , , ,0,0, , ,0,0, , , ,0,1, , , ,0,0, , , , ,1,1, , , ,0,0, , ,0,0, , , ,0,0, , , ,0,0, , , ,0,23 %,
HS/2018/16693,0,0,1, , , , , ,1,1, , , ,1,1, , ,0,0, , , ,1,0, , , ,1,0, , , , ,1,1, , , ,0,0, , ,0,1, , , ,0,0, , , ,0,0, , , ,0,38 %,
HS/2018/16694,0,0,1, , , , , ,0,0, , , ,1,1, , ,0,0, , , ,1,1, , , ,0,0, , , , ,1,1, , , ,0,0, , ,0,1, , , ,0,0, , , ,0,0, , , ,1,35 %,
HS/2018/16695,0,0,1, , , , , ,1,1, , , ,0,0, , ,0,0, , , ,0,0, , , ,0,0, , , , ,1,1, , , ,0,0, , ,0,0, , , ,0,0, , , ,1,1, , , ,0,27 %,
HS/2018/16697,0, , , , , , , ,1, , , , ,0, , , ,0, , , , ,0, , , , ,0, , , , , ,1, , , , ,0, , , ,0, , , , ,1, , , , ,1, , , , , ,15 %,
HS/2018/16698,0, ,1, , ,0, , ,1, ,1, , ,1, , , ,0, ,1, , ,1, ,0, , ,1, ,0,0, , ,1, ,0, , ,0, , , ,0, ,0, , ,1, ,0, , ,1, ,1, , , ,42 %,
HS/2018/16699,0, ,1, , ,0, , ,1, ,0, , ,0, , , ,0, ,0, , ,1, ,1, , ,1, ,0,0, , ,1, ,0, , ,0, , , ,0, ,0, , ,0, ,0, , ,1, ,0, , , ,27 %,
HS/2018/16700,0,0, , , , , , ,0,0, , , ,1,0, , ,0,0, , , ,0,0, , , ,0,0, , , , ,1,1, , , ,0,0, , ,0,0, , , ,1,0, , , ,1,1, , , ,0,23 %,
HS/2018/16701,0, ,0,1, ,0, , ,0, ,1, , ,0, , , ,0, ,1, , ,1, ,0, , ,0, ,0,1, , ,1, ,0, , ,0, , , ,1, ,0, , ,1, ,1, , ,0, ,1, , , ,38 %,
HS/2018/16702,0,0,1, , , , , ,1,1, , , ,1,0, , ,0,0, , , ,1,0, , , ,1,1, , , , ,1,1, , , ,0,0, , ,1,0, , , ,0,0, , , ,1,1, , , ,1,50 %,
HS/2018/16703,0,0,1, , , , , ,1,1, , , ,1,1, , ,0,0, , , ,1,1, , , ,1,1, , , , ,1,1, , , ,0,0, , ,0,1, , , ,1,1, , , ,1,1, , , ,0,62 %,
HS/2018/16704,0,0, , , , , , ,1,0, , , ,1,0, , ,0,0, , , ,0,0, , , ,1,1, , , , ,1,1, , , ,0,0, , ,0,0, , , ,0,0, , , ,1,0, , , ,0,27 %,
HS/2018/16705,0,0,1, , , , , ,1,1, , , ,1,1, , ,0,0, , , ,0,0, , , ,0,0, , , , ,1,1, , , ,0,0, , ,0,0, , , ,1,0, , , ,1,1, , , ,0,38 %,
HS/2018/16706,0, ,1, , ,0, , ,1, ,0, , ,0, , , ,0, ,0, , ,1, ,0, , ,0, ,0,0, , ,1, ,0, , ,0, , , ,0, ,0, , ,0, ,0, , ,0, ,1, , , ,19 %,
HS/2018/16708,0,0,1, , , , , ,1,1, , , ,1,1, , ,0,0, , , ,1,0, , , ,0,0, , , , ,1,1, , , ,0,0, , ,0,1, , , ,1,1, , , ,0,0, , , ,0,42 %,
HS/2018/16710,0, ,1, , ,0, , ,1, ,1, , ,1, , , ,0, ,1, , ,1, ,1, , ,0, ,0,1, , ,1, ,0, , ,0, , , ,0, ,0, , ,1, ,0, , ,0, ,1, , , ,42 %,
HS/2018/16711,0,0,1, , , , , ,1,1, , , ,1,1, , ,0,0, , , ,1,1, , , ,0,0, , , , ,1,1, , , ,0,0, , ,0,1, , , ,0,0, , , ,1,1, , , ,1,50 %,
HS/2018/16712,0,0,1, , , , , ,1,1, , , ,1,1, , ,0,0, , , ,0,0, , , ,1,1, , , , ,1,1, , , ,0,0, , ,0,1, , , ,1,0, , , ,1,1, , , ,0,50 %,
HS/2018/16713,0,0,1, , , , , ,1,1, , , ,0,0, , ,0,0, , , ,1,1, , , ,0,0, , , , ,1,1, , , ,0,0, , ,0,1, , , ,1,1, , , ,1,1, , , ,1,50 %,
HS/2018/16714,0,1, , , , , , ,0,1, , , ,0,0, , ,0,0, , , ,1,1, , , ,1,0, , , , ,1,1, , , ,0,0, , ,0,0, , , ,1,0, , , ,0,0, , , ,0,31 %,
HS/2018/16715,0,0,1, , , , , ,1,1, , , ,1,1, , ,0,0, , , ,1,0, , , ,1,1, , , , ,1,1, , , ,0,0, , ,0,1, , , ,1,1, , , ,1,1, , , ,1,62 %,
HS/2018/16716,0,0,1, , , , , ,1,1, , , ,1,1, , ,0,0, , , ,0,0, , , ,0,0, , , , ,1,1, , , ,0,0, , ,1,1, , , ,1,0, , , ,1,1, , , ,0,46 %,
HS/2018/16717,0,0, ,1, , , , ,1,1, , , ,1,1, , ,0,0, , , ,1,0, , , ,0,0, , , , ,1,0, , , ,0,0, , ,0,0, , , ,0,0, , , ,1,0, , , ,0,31 %,
HS/2018/16718,0,0,1, , , , , ,1,1, , , ,1,0, , ,0,0, , , ,1,1, , , ,0,0, , , , ,1,1, , , ,0,0, , ,0,1, , , ,0,0, , , ,1,0, , , ,0,38 %,
HS/2018/16719,0,0, , , , , , ,1,1, , , ,1,1, , ,0,0, , , ,1,1, , , ,0,0, , , , ,1,1, , , ,0,0, , ,0,0, , , ,1,1, , , ,0,1, , , ,0,42 %,
HS/2018/16720,0, ,1, , ,0, , ,1, ,0, , ,1, , , ,0, ,0, , ,0, ,0, , ,0, ,0,1, , ,1, ,0, , ,0, , , ,0, ,0, , ,0, ,0, , ,1, ,0, , , ,23 %,
HS/2018/16721,0,0,1, , , , , ,1,1, , , ,1,1, , ,0,0, , , ,0,0, , , ,0,0, , , , ,0,1, , , ,0,0, , ,0,0, , , ,0,0, , , ,0,1, , , ,1,31 %,
HS/2018/16722,0,0,1, , , , , ,1,1, , , ,1,1, , ,0,0, , , ,0,0, , , ,1,1, , , , ,1,1, , , ,0,0, , ,1,1, , , ,1,0, , , ,1,1, , , ,0,54 %,
HS/2018/16723,0, ,1, , ,0, , ,1, ,1, , ,0, , , ,0, ,1, , ,1, ,1, , ,0, ,0,0, , ,1, ,0, , ,0, , , ,0, ,0, , ,1, ,0, , ,1, ,1, , , ,38 %,
HS/2018/16724,0,0,1, , , , , ,0,0, , , ,0,0, , ,0,0, , , ,1,1, , , ,0,0, , , , ,0,1, , , ,0,0, , ,0,0, , , ,0,0, , , ,0,0, , , ,0,15 %,
HS/2018/16725,0,0,1, , , , , ,1,1, , , ,0,0, , ,0,0, , , ,0,0, , , ,1,1, , , , ,1,1, , , ,0,0, , ,1,1, , , ,1,0, , , ,1,1, , , ,0,46 %,
HS/2018/16726,0,0,1, , , , , ,1,0, , , ,0,0, , ,0,0, , , ,1,0, , , ,0,0, , , , ,1,1, , , ,0,0, , ,0,0, , , ,0,0, , , ,1,1, , , ,0,27 %,
