Current Attendence Sheet Data of SOC12513  |  All Type


-,2019-08-01-13:00:00-Lect-1H-ng,2019-08-06-10:00:00-Lect-2H-ng,2019-08-08-13:00:00-Lect-1H-ng,2019-08-13-10:00:00-Lect-2H-ng,2019-08-15-13:00:00-Lect-1H-ng,2019-12-10-10:00:00-Lect-2H-ng,2019-12-12-13:00:00-Lect-1H-ng,2019-12-17-10:00:00-Lect-2H-ng,2019-12-19-13:00:00-Lect-1H-ng,2019-12-24-10:00:00-Lect-2H-ng,2019-12-31-10:00:00-Lect-2H-ng,2020-01-02-13:00:00-Lect-1H-ng,2020-01-08-10:00:00-Lect-2H-ng,2020-01-14-10:00:00-Lect-2H-ng,2020-01-16-13:00:00-Lect-1H-ng,2020-01-21-10:00:00-Lect-2H-ng,2020-01-28-10:00:00-Lect-2H-ng,2020-01-30-13:00:00-Lect-1H-ng,2020-02-06-10:00:00-Lect-2H-ng,2020-02-11-09:00:00-Lect-1H-ng,2020-02-18-10:00:00-Lect-2H-ng,%
HS/2018/16702,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,94 %,
HS/2018/16703,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,88 %,
HS/2018/16704,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,85 %,
HS/2018/16705,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,88 %,
HS/2018/16706,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,85 %,
HS/2018/16708,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,94 %,
HS/2018/16710,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,94 %,
HS/2018/16711,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,85 %,
HS/2018/16712,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,94 %,
HS/2018/16714,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,94 %,
HS/2018/16716,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,88 %,
HS/2018/16718,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,88 %,
HS/2018/16719,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,94 %,
HS/2018/16721,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,88 %,
HS/2018/16722,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,91 %,
HS/2018/16724,1,1,1,0,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,85 %,
HS/2018/16726,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,94 %,
HS/2018/16728,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,91 %,
HS/2018/16729,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,88 %,
HS/2018/16732,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,94 %,
HS/2018/16734,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,94 %,
HS/2018/16735,0,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,82 %,
HS/2018/16738,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,94 %,
HS/2018/16739,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,85 %,
HS/2018/16742,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,94 %,
HS/2018/16743,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,82 %,
HS/2018/16745,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,88 %,
HS/2018/16746,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,94 %,
HS/2018/16748,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,91 %,
HS/2018/16750,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,91 %,
HS/2018/16752,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,91 %,
HS/2018/16754,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,91 %,
HS/2018/16755,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,94 %,
HS/2018/16756,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,94 %,
HS/2018/16758,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,94 %,
HS/2018/16761,0,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,82 %,
HS/2018/16762,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,94 %,
HS/2018/16764,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,85 %,
HS/2018/16766,1,1,1,1,1,0,1,1,0,0,1,1,1,1,1,1,1,0,1,1,1,82 %,
HS/2018/16767,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,97 %,
HS/2018/16768,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,91 %,
HS/2018/16769,0,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,85 %,
HS/2018/16770,0,1,1,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,82 %,
HS/2018/16772,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,85 %,
HS/2018/16773,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,91 %,
HS/2018/16774,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,94 %,
