Current Attendence Sheet Data of SOC12513  |  All Type


-,2019-08-01-13:00:00-Lect-1H-ng,2019-08-06-10:00:00-Lect-2H-ng,2019-08-08-13:00:00-Lect-1H-ng,2019-08-13-10:00:00-Lect-2H-ng,2019-08-15-13:00:00-Lect-1H-ng,2019-12-10-10:00:00-Lect-2H-ng,2019-12-12-13:00:00-Lect-1H-ng,2019-12-17-10:00:00-Lect-2H-ng,2019-12-19-13:00:00-Lect-1H-ng,2019-12-24-10:00:00-Lect-2H-ng,2019-12-31-10:00:00-Lect-2H-ng,2020-01-02-13:00:00-Lect-1H-ng,2020-01-08-10:00:00-Lect-2H-ng,2020-01-14-10:00:00-Lect-2H-ng,2020-01-16-13:00:00-Lect-1H-ng,2020-01-21-10:00:00-Lect-2H-ng,2020-01-28-10:00:00-Lect-2H-ng,2020-01-30-13:00:00-Lect-1H-ng,2020-02-06-10:00:00-Lect-2H-ng,2020-02-11-09:00:00-Lect-1H-ng,2020-02-18-10:00:00-Lect-2H-ng,%
HS/2018/16906,1,1,1,1,1,0,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,85 %,
HS/2018/16907,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,88 %,
HS/2018/16909,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,94 %,
HS/2018/16911,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,91 %,
HS/2018/16912,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,94 %,
HS/2018/16914,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,88 %,
HS/2018/16915,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,94 %,
HS/2018/16916,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,85 %,
HS/2018/16920,1,0,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,82 %,
HS/2018/16921,0,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,85 %,
HS/2018/16922,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,88 %,
HS/2018/16924,0,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,85 %,
HS/2018/16925,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,88 %,
HS/2018/16926,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,88 %,
HS/2018/16930,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,94 %,
HS/2018/16932,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,94 %,
HS/2018/16933,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,91 %,
HS/2018/16937,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,79 %,
HS/2018/16940,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,85 %,
HS/2018/16941,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,88 %,
HS/2018/16943,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,91 %,
HS/2018/16945,0,1,1,1,0,0,1,1,1,0,1,1,0,1,0,1,1,0,1,1,0,64 %,
HS/2018/16946,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,88 %,
HS/2018/16951,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,88 %,
HS/2018/16952,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,94 %,
HS/2018/16955,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,88 %,
HS/2018/16957,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,91 %,
HS/2018/16958,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,88 %,
HS/2018/16959,1,1,1,0,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,82 %,
HS/2018/16961,1,1,1,0,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,82 %,
HS/2018/16962,0,0,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,82 %,
HS/2018/16963,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,94 %,
HS/2018/16965,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,94 %,
HS/2018/16966,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,94 %,
HS/2018/16967,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,91 %,
HS/2018/16968,1,1,0,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,88 %,
HS/2018/16971,1,1,1,0,1,0,1,1,1,1,1,0,1,1,1,0,1,0,0,1,1,70 %,
HS/2018/16972,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,94 %,
HS/2018/16973,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,94 %,
HS/2018/16975,1,1,1,0,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,82 %,
HS/2018/16976,0,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,85 %,
HS/2018/16977,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,94 %,
HS/2018/16980,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,94 %,
HS/2018/16982,1,1,0,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,82 %,
HS/2018/16983,0,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,85 %,
HS/2018/16984,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,94 %,
HS/2018/16985,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,91 %,
HS/2018/16986,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,85 %,
HS/2018/16991,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,94 %,
HS/2018/16993,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,91 %,
HS/2018/16995,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,91 %,
HS/2018/16996,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,91 %,
HS/2018/16999,1,1,1,0,1,0,1,1,1,0,0,1,0,1,1,0,1,1,1,1,1,64 %,
HS/2018/17001,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,94 %,
HS/2018/17003,1,1,1,0,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,82 %,
HS/2018/17004,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,88 %,
HS/2018/17005,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,88 %,
HS/2018/17006,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,85 %,
HS/2018/17008,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,91 %,
HS/2018/17009,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,91 %,
HS/2018/17010,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,88 %,
HS/2018/17011,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,94 %,
HS/2018/17013,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,88 %,
HS/2018/17014,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,88 %,
HS/2018/17015,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,94 %,
HS/2018/17016,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,91 %,
HS/2018/17017,0,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,82 %,
HS/2018/17019,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,88 %,
HS/2018/17021,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,91 %,
HS/2018/17025,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,94 %,
HS/2018/17026,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,94 %,
HS/2018/17027,0,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,82 %,
HS/2018/17029,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,94 %,
HS/2018/17032,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,91 %,
HS/2018/17033,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,91 %,
HS/2018/17034,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,94 %,
HS/2018/17035,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,94 %,
HS/2018/17038,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,94 %,
HS/2018/17040,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,94 %,
HS/2018/17042,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,88 %,
HS/2018/17045,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,88 %,
HS/2018/17048,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,94 %,
HS/2018/17049,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,91 %,
HS/2018/17050,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,91 %,
HS/2018/17051,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,91 %,
HS/2018/17052,0,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,85 %,
HS/2018/17053,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,94 %,
HS/2018/17054,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,88 %,
HS/2018/17059,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,88 %,
HS/2018/17060,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,94 %,
HS/2018/17062,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,88 %,
HS/2018/17063,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,94 %,
HS/2018/17064,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,88 %,
HS/2018/17065,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,88 %,
HS/2018/17066,1,1,1,0,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,82 %,
HS/2018/17068,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,94 %,
HS/2018/17069,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,91 %,
HS/2018/17070,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,94 %,
HS/2018/17071,0,0,0,0,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,70 %,
HS/2018/17072,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,94 %,
HS/2018/17074,1,1,1,0,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,85 %,
HS/2018/17075,0,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,88 %,
HS/2018/17076,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,88 %,
HS/2018/17077,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,88 %,
HS/2018/17078,0,1,1,1,1,0,1,1,1,1,1,1,1,0,0,1,1,1,0,1,0,70 %,
HS/2018/17080,1,1,0,0,0,0,1,1,0,0,1,0,0,1,0,1,1,0,0,0,0,42 %,
HS/2018/17082,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,88 %,
HS/2018/17083,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,91 %,
HS/2018/17084,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,94 %,
HS/2018/17088,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,94 %,
HS/2018/17090,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,94 %,
HS/2018/17094,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,94 %,
HS/2018/17096,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,94 %,
HS/2018/17098,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,88 %,
HS/2018/17106,1,1,1,0,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,85 %,
HS/2018/17115,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,94 %,
HS/2018/17117,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,94 %,
HS/2018/17119,1,1,1,1,1,0,1,1,1,1,1,1,0,0,1,1,1,1,0,1,1,76 %,
HS/2018/17120,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,88 %,
Total,231,289,286,261,285,1,299,292,279,273,274,278,292,289,284,292,297,274,272,296,293,
