Current Attendence Sheet Data of SUP32513  |  All Type


-,2019-07-29-16:00:00-Lect-2H-ng,2019-07-31-13:00:00-Lect-1H-ng,2019-08-05-16:00:00-Lect-2H-ng,2019-08-07-13:00:00-Lect-1H-ng,2019-08-19-16:00:00-Lect-2H-ng,2019-12-09-16:00:00-Lect-2H-ng,2019-12-16-16:00:00-Lect-2H-ng,2019-12-18-13:00:00-Lect-1H-ng,2019-12-23-16:00:00-Lect-2H-ng,2019-12-30-14:00:00-Lect-2H-ng,2020-01-01-13:00:00-Lect-1H-ng,2020-01-06-16:00:00-Lect-2H-ng,2020-01-13-16:00:00-Lect-2H-ng,2020-01-20-16:00:00-Lect-2H-ng,2020-01-27-16:00:00-Lect-2H-ng,2020-01-29-13:00:00-Lect-1H-ng,2020-02-03-16:00:00-Lect-2H-ng,2020-02-05-13:00:00-Lect-1H-ng,2020-02-10-16:00:00-Lect-2H-ng,2020-02-12-13:00:00-Lect-1H-ng,%
HS/2016/15839,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,88 %,
HS/2016/15841,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,85 %,
HS/2016/15842,0,M,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,88 %,
HS/2016/15846,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,91 %,
HS/2016/15847,0,0,1,0,1,1,0,1,M,M,1,1,1,1,1,1,1,1,1,1,82 %,
HS/2016/15848,0,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,82 %,
HS/2016/15853,0,0,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,82 %,
HS/2016/15855,0,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,88 %,
HS/2016/15857,0,0,0,1,M,M,1,1,M,M,M,1,M,M,1,1,M,M,M,1,85 %,
HS/2016/15859,M,M,1,1,M,E,1,1,1,0,1,1,1,1,0,1,1,1,1,1,88 %,
HS/2016/15860,0,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,88 %,
HS/2016/15861,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,85 %,
HS/2016/15865,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,91 %,
HS/2016/15869,M,M,0,M,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,85 %,
HS/2016/15881,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,88 %,
HS/2016/15885,M,M,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,82 %,
HS/2016/15886,M,M,M,M,M,M,1,1,M,M,1,1,M,1,M,M,M,1,0,1,94 %,
HS/2016/15889,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,88 %,
HS/2016/15890,0,0,M,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,85 %,
HS/2016/15892,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,82 %,
HS/2016/15898,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,85 %,
HS/2016/15906,E,E,E,E,E,E,E,E,E,E,E,1,E,E,E,E,0,0,0,0,82 %,
HS/2016/15910,M,M,1,0,M,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,91 %,
HS/2016/15911,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 %,
HS/2016/15915,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,91 %,
HS/2016/15916,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,91 %,
HS/2016/15919,M,M,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,88 %,
HS/2016/15921,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,85 %,
HS/2016/15922,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,88 %,
HS/2016/15924,0,0,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,82 %,
HS/2016/15925,0,0,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,82 %,
HS/2016/15926,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,94 %,
HS/2016/15928,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,91 %,
HS/2016/15934,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,94 %,
HS/2016/15935,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,91 %,
HS/2016/15936,0,0,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,82 %,
HS/2016/15937,0,M,1,1,1,M,1,1,0,1,1,1,1,1,1,1,1,1,1,1,88 %,
HS/2016/15943,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,88 %,
HS/2016/15945,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,85 %,
HS/2016/15952,0,0,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,82 %,
HS/2016/15953,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,85 %,
HS/2016/15966,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,1,0,1,1,0,36 %,
HS/2016/15977,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,88 %,
HS/2016/15978,M,M,1,1,1,1,0,1,M,M,1,1,1,1,1,1,1,1,1,1,94 %,
HS/2016/15982,0,0,1,1,1,M,1,1,1,1,1,1,1,1,1,1,1,1,1,1,91 %,
HS/2016/15986,0,0,1,0,0,M,M,M,M,M,M,1,M,M,M,M,M,M,M,M,82 %,
HS/2016/15987,0,0,1,1,0,M,1,1,1,1,1,1,1,1,1,1,1,1,1,1,85 %,
HS/2016/15990,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,85 %,
HS/2016/15991,0,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,88 %,
HS/2016/15992,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,91 %,
HS/2016/15995,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,91 %,
HS/2016/15996,M,M,1,0,1,1,M,1,1,1,1,1,1,1,1,0,1,1,1,1,94 %,
HS/2016/16008,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,85 %,
HS/2016/16009,M,M,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,88 %,
HS/2016/16016,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,85 %,
HS/2016/16018,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,94 %,
HS/2016/16020,0,0,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,82 %,
HS/2016/16021,0,0,M,M,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,91 %,
