Current Attendence Sheet Data of FDN12523  |  All Type


-,2019-07-29-09:00:00-Lect-2H-ng,2019-07-29-15:00:00-Prac-2H-JULY5-A,2019-07-30-16:00:00-Prac-2H-JULY5-B,2019-08-01-15:00:00-Prac-2H-JULY5-C,2019-08-02-15:00:00-Prac-2H-JULY5-D,2019-08-05-09:00:00-Lect-2H-ng,2019-08-05-15:00:00-Prac-2H-AUG2-A,2019-08-06-16:00:00-Prac-2H-AUG2-B,2019-08-08-15:00:00-Prac-2H-AUG2-C,2019-08-09-15:00:00-Prac-2H-AUG2-D,2019-08-12-09:00:00-Lect-2H-ng,2019-08-12-15:00:00-Prac-2H-AUG3-A,2019-08-13-16:00:00-Prac-2H-AUG3-B,2019-08-15-15:00:00-Prac-2H-AUG3-C,2019-08-16-15:00:00-Prac-2H-AUG3-D,2019-08-19-09:00:00-Lect-2H-ng,2019-08-19-15:00:00-Prac-2H-AUG4-A,2019-08-20-16:00:00-Prac-2H-AUG4-B,2019-08-22-15:00:00-Prac-2H-AUG4-C,2019-08-23-15:00:00-Prac-2H-AUG4-D,2019-12-09-09:00:00-Lect-2H-ng,2019-12-09-15:00:00-Prac-2H-DEC2-A,2019-12-10-16:00:00-Prac-2H-DEC2-B,2019-12-12-15:00:00-Prac-2H-DEC2-C,2019-12-13-15:00:00-Prac-3H-DEC2-D,2019-12-16-09:00:00-Lect-2H-ng,2019-12-16-15:00:00-Prac-2H-DEC3-A,2019-12-17-16:00:00-Prac-2H-DEC3-B,2019-12-19-15:00:00-Prac-2H-DEC3-C,2019-12-20-15:00:00-Prac-3H-DEC3-D,2019-12-23-09:00:00-Lect-2H-ng,2019-12-23-15:00:00-Prac-2H-DEC4-A,2019-12-24-16:00:00-Prac-2H-DEC4-B,2019-12-26-15:00:00-Prac-2H-DEC4-C,2019-12-30-09:00:00-Lect-2H-ng,2019-12-30-15:00:00-Assi-2H-ng,2020-01-06-09:00:00-Lect-2H-ng,2020-01-06-15:00:00-Prac-2H-JAN2-A,2020-01-07-16:00:00-Prac-2H-JAN2-B,2020-01-09-15:00:00-Prac-2H-JAN2-C,2020-01-10-09:00:00-Prac-2H-JAN2-D,2020-01-13-09:00:00-Lect-2H-ng,2020-01-13-15:00:00-Prac-2H-JAN3-A,2020-01-14-16:00:00-Prac-2H-JAN3-B,2020-01-16-15:00:00-Prac-2H-JAN3-C,2020-01-17-09:00:00-Prac-2H-JAN3-D,2020-01-20-09:00:00-Lect-2H-ng,2020-01-20-15:00:00-Prac-2H-JAN4-A,2020-01-21-16:00:00-Prac-2H-JAN4-B,2020-01-23-15:00:00-Prac-2H-JAN4-C,2020-01-24-09:00:00-Prac-2H-JAN4-D,2020-01-27-09:00:00-Lect-2H-ng,2020-01-27-15:00:00-Assi-2H-ng,2020-02-03-09:00:00-Lect-2H-ng,2020-02-03-15:00:00-Prac-2H-FEB1-A,2020-02-04-16:00:00-Prac-2H-FEB1-B,2020-02-06-15:00:00-Prac-2H-FEB1-C,2020-02-07-09:00:00-Prac-2H-FEB1-D,2020-02-10-09:00:00-Lect-2H-ng,2020-02-10-15:00:00-Prac-2H-FEB2-A,2020-02-11-16:00:00-Prac-2H-FEB2-B,2020-02-13-15:00:00-Prac-2H-FEB2-C,2020-02-14-09:00:00-Prac-2H-FEB2-D,2020-02-17-09:00:00-Lect-2H-ng,2020-02-17-15:00:00-Prac-2H-FEB3-A,2020-02-18-16:00:00-Prac-2H-FEB3-B,2020-02-20-15:00:00-Prac-2H-FEB3-C,2020-02-21-09:00:00-Prac-2H-FEB3-D,%
HS/2018/16704,0,0, , , ,1,1, , , ,1,1, , , ,1,1, , , ,1,1, , , ,1,1, , , ,1,1, , ,1,1,1,1, , , ,0,1, , , ,1,1, , , ,1,1,1,1, , , ,1,0, , , ,1,1, , , ,87 %,
HS/2018/16705,1,0, , , ,1,0, , , ,1,1, , , ,1,1, , , ,1,0, , , ,1,1, , , ,1,1, , ,1,1,1,0, , , ,1,1, , , ,1,0, , , ,1,1,1,0, , , ,1,1, , , ,1,1, , , ,80 %,
HS/2018/16706,0, ,1, , ,0, ,0, , ,1, ,0, , ,0, ,0, , ,1, ,0, , ,0, ,0, , ,1, ,1, ,0,1,1, ,1, , ,1, ,0, , ,1, ,0, , ,1,1,0, ,1, , ,1, ,0, , ,1, ,0, , ,50 %,
HS/2018/16708,0,0, , , ,1,1, , , ,1,1, , , ,0,0, , , ,0,1, , , ,1,1, , , ,1,1, , ,1,1,1,1, , , ,1,1, , , ,1,1, , , ,0,1,0,1, , , ,1,1, , , ,1,1, , , ,77 %,
HS/2018/16710,1, ,1, , ,1, ,1, , ,1, ,1, , ,0, ,0, , ,1, ,1, , ,1, ,1, , ,1, ,1, ,1,1,1, ,1, , ,1, ,1, , ,1, ,0, , ,1,1,1, ,1, , ,1, ,0, , ,1, ,1, , ,87 %,
HS/2018/16711,1,1, , , ,0,1, , , ,1,1, , , ,1,1, , , ,1,1, , , ,1,1, , , ,1,1, , ,1,1,1,1, , , ,1,1, , , ,1,1, , , ,1,1,1,1, , , ,1,1, , , ,1,1, , , ,97 %,
HS/2018/16712,1,1, , , ,1,1, , , ,1,1, , , ,1,1, , , ,1,1, , , ,1,1, , , ,1,0, , ,1,1,1,1, , , ,1,1, , , ,1,1, , , ,1,1,1,0, , , ,1,1, , , ,1,1, , , ,93 %,
HS/2018/16713,0,1, , , ,1,1, , , ,1,1, , , ,1,1, , , ,1,1, , , ,1,1, , , ,1,0, , ,1,1,1,1, , , ,1,1, , , ,1,0, , , ,1,1,1,1, , , ,1,1, , , ,1,1, , , ,90 %,
HS/2018/16714,0,0, , , ,0,0, , , ,1,1, , , ,0,0, , , ,1,0, , , ,1,0, , , ,1,0, , ,1,1,1,0, , , ,1,0, , , ,1,0, , , ,1,1,1,0, , , ,1,1, , , ,1,0, , , ,53 %,
HS/2018/16715,1,0, , , ,1,1, , , ,1,1, , , ,1,1, , , ,1,1, , , ,1,1, , , ,1,1, , ,1,1,1,1, , , ,1,1, , , ,1,1, , , ,1,1,1,1, , , ,1,0, , , ,1,1, , , ,93 %,
HS/2018/16716,1,0, , , ,1,1, , , ,1,1, , , ,1,1, , , ,1,1, , , ,1,1, , , ,1,1, , ,1,1,1,1, , , ,1,1, , , ,1,1, , , ,1,1,1,1, , , ,1,0, , , ,1,0, , , ,90 %,
HS/2018/16717,0,1, , , ,0,0, , , ,1,1, , , ,0,0, , , ,0,0, , , ,1,1, , , ,1,0, , ,0,1,1,0, , , ,1,0, , , ,1,1, , , ,0,1,0,0, , , ,1,0, , , ,1,1, , , ,50 %,
HS/2018/16718,1,1, , , ,M,1, , , ,1,1, , , ,1,1, , , ,1,0, , , ,1,0, , , ,1,0, , ,1,1,M,1, , , ,1,0, , , ,1,1, , , ,0,1,0,0, , , ,1,0, , , ,M,1, , , ,73 %,
HS/2018/16719,1,0, , , ,1,1, , , ,1,1, , , ,1,1, , , ,1,1, , , ,1,1, , , ,1,1, , ,1,1,1,1, , , ,1,0, , , ,1,1, , , ,1,1,1,1, , , ,1,1, , , ,1,1, , , ,93 %,
HS/2018/16720,1, ,1, , ,M, ,1, , ,1,1,0, , ,1, ,0, , ,M, ,1, , ,1, ,1, , ,1, ,0, ,1,1,0, ,0, , ,0, ,1, , ,1, ,1, , ,1,1,1, ,1, , ,1, ,0, , ,M, ,1, , ,80 %,
HS/2018/16721,1,1, , , ,1,1, , , ,1,1, , , ,1,1, , , ,1,1, , , ,1,1, , , ,1,1, , ,1,1,0,1, , , ,1,1, , , ,1,1, , , ,1,1,1,1, , , ,1,1, , , ,1,1, , , ,97 %,
HS/2018/16722,1,0, , , ,1,1, , , ,1,0, , , ,1,1, , , ,1,1, , , ,1,1, , , ,1,1, , ,1,1,1,1, , , ,1,1, , , ,1,1, , , ,1,1,1,1, , , ,1,1, , , ,1,1, , , ,93 %,
HS/2018/16723,1, ,1, , ,1, ,1, , ,1, ,1, , ,1, ,1, , ,1, ,1, , ,1, ,1, , ,1, ,1, ,1,1,1, ,1, , ,1, ,0, , ,1, ,1, , ,1,1,1, ,1, , ,0, ,1, , ,1, ,1, , ,93 %,
HS/2018/16724,0,0, , , ,1,1, , , ,1,1, , , ,1,0, , , ,1,1, , , ,0,0, , , ,1,1, , ,1,1,1,0, , , ,1,0, , , ,1,1, , , ,1,1,0,0, , , ,0,1, , , ,1,0, , , ,63 %,
HS/2018/16725,1,0, , , ,1,1, , , ,1,1, , , ,1,1, , , ,1,1, , , ,1,0, , , ,1,1, , ,1,1,1,1, , , ,1,1, , , ,1,1, , , ,1,1,0,1, , , ,1,1, , , ,1,1, , , ,90 %,
HS/2018/16726,0,0, , , ,1,1, , , ,1,1, , , ,1,0, , , ,0,0, , , ,1,1, , , ,1,1, , ,0,1,1,0, , , ,1,1, , , ,1,0, , , ,1,1,1,0, , , ,1,1, , , ,1,1, , , ,70 %,
HS/2018/16728,0,0, , , ,1,1, , , ,1,1, , , ,1,0, , , ,1,0, , , ,1,1, , , ,1,1, , ,1,1,1,1, , , ,0,1, , , ,1,1, , , ,1,1,0,0, , , ,1,1, , , ,1,1, , , ,77 %,
HS/2018/16729,1,0, , , ,0,1, , , ,1,1, , , ,1,1, , , ,1,0, , , ,1,1, , , ,1,1, , ,1,1,1,1, , , ,1,1, , , ,M,1, , , ,M,1,M,1, , , ,1,1, , , ,1,1, , , ,90 %,
HS/2018/16730,0,1, , , ,0,0, , , ,1,1, , , ,1,1, , , ,1,1, , , ,0,0, , , ,1,1, , ,1,1,1,1, , , ,1,1, , , ,1,1, , , ,1,1,0,1, , , ,1,1, , , ,1,1, , , ,80 %,
HS/2018/16731,0, ,1, , ,1, ,1, , ,1, ,1, , ,1, ,1, , ,1, ,0, , ,1, ,0, , ,1, ,1, ,1,1,1, ,1, , ,1, ,1, , ,1, ,1, , ,1,1,1, ,1, , ,1, ,1, , ,1, ,1, , ,90 %,
HS/2018/16732,1, ,1, , ,1, ,1, , ,1, ,1, , ,1, ,1, , ,1, ,1, , ,1, ,1, , ,1, ,1, ,1,1,1, ,1, , ,1, ,1, , ,1, ,1, , ,1,1,0, ,1, , ,0, ,1, , ,1, ,1, , ,93 %,
HS/2018/16733,0,0, , , ,1,1, , , ,1,1, , , ,1,0, , , ,0,0, , , ,1,1, , , ,1,1, , ,1,1,1,1, , , ,1,1, , , ,1,1, , , ,1,1,1,0, , , ,1,0, , , ,1,0, , , ,73 %,
HS/2018/16734,0,1, , , ,1,1, , , ,1,1, , , ,1,1, , , ,1,1, , , ,1,1, , , ,1,1, , ,1,1,1,1, , , ,1,1, , , ,1,1, , , ,1,1,1,0, , , ,1,1, , , ,1,0, , , ,90 %,
HS/2018/16735,0,1, , , ,1,0, , , ,1,1, , , ,1,0, , , ,1,1, , , ,1,1, , , ,1,1, , ,1,1,1,1, , , ,1,1, , , ,1,1, , , ,1,1,1,1, , , ,1,1, , , ,1,1, , , ,90 %,
HS/2018/16736,0,0, , , ,1,1, , , ,1,1, , , ,1,0, , , ,1,0, , , ,1,1, , , ,1,0, , ,1,1,1,0, , , ,1,1, , , ,1,0, , , ,1,1,1,0, , , ,1,1, , , ,1,1, , , ,73 %,
HS/2018/16737,0,1, , , ,1,1, , , ,1,1, , , ,1,1, , , ,0,0, , , ,1,1, , , ,1,1, , ,1,1,1,1, , , ,1,1, , , ,1,1, , ,1,1,1,1,1, , , ,1,1, , , ,1,0, , , ,90 %,
HS/2018/16738,1,0, , , ,1,1, , , ,1,1, , , ,1,0, , , ,1,1, , , ,1,1, , , ,1,0, , ,1,1,1,0, , , ,1,1, , , ,1,0, , , ,1,1,1,0, , , ,1,0, , , ,1,0, , , ,73 %,
HS/2018/16739,1,1, , , ,1,1, , , ,1,1, ,1, ,0,1, , , ,1,1, , , ,1,1, , , ,1,0, , ,1,1,1,1, , , ,1,1, , , ,1,1, , , ,1,1,0,0, , , ,1,1, , , ,1,1, , , ,90 %,
HS/2018/16740,0,1, , , ,1,1, , , ,1,1, , , ,1,1, , , ,1,1, , , ,1,1, , , ,1,1, , ,1,1,1,1, , , ,1,1, , , ,1,1, , , ,1,1,0,0, , , ,1,1, , , ,1,1, , , ,90 %,
HS/2018/16741,0,0, , , ,1,1, , , ,1,1, , , ,1,0, , , ,1,0, , , ,1,1, , , ,1,1, , ,1,1,1,1, , , ,1,1, , , ,1,1, , , ,1,1,1,0, , , ,1,1, , , ,1,1, , , ,83 %,
HS/2018/16742,0,1, , , ,1,1, , , ,1,1, , , ,1,0, , , ,1,1, , , ,1,1, , , ,1,1, , ,1,1,1,1, , , ,1,1, , , ,0,0, , , ,1,1,1,1, , , ,1,1, , , ,1,0, , , ,83 %,
HS/2018/16743,1, ,1, , ,1, ,1, , ,1, ,1, , ,1, ,1, , ,0, ,0, , ,1, ,1, , ,1, ,0, ,1,1,0, ,1, , ,1, ,1, , ,1, ,0, , ,1,1,0, ,1, , ,1, ,1, , ,0, ,1, , ,77 %,
HS/2018/16744,0,1, , , ,1,1, , , ,1,1, , , ,1,1, , , ,1,0, , , ,1,1, , , ,1,0, , ,1,1,1,0, , , ,1,0, , , ,1,0, , , ,1,1,1,0, , , ,1,0, , , ,1,1, , , ,73 %,
HS/2018/16745,1,0, , , ,1,1, , , ,1,1, , , ,0,1, , , ,1,0, , , ,1,1, , , ,1,1, , ,1,1,0,1, , , ,1,1, , , ,1,1, , , ,1,1,1,0, , , ,1,1, , , ,1,0, , , ,80 %,
HS/2018/16746,0, ,1, , ,1, ,1, , ,1, ,1, , ,1, ,1, , ,1, ,1, , ,1, ,1, , ,1, ,1, ,1,1,1, ,1, , ,1, ,1, , ,0, ,1, , ,1,1,1, ,1, , ,1, ,1, , ,1, ,1, , ,93 %,
HS/2018/16747,1,0, , , ,0,1, , , ,1,1, , , ,1,1, , , ,1,1, , , ,1,1, , , ,1,1, , ,1,1,1,1, , , ,1,1, , , ,1,1, , , ,1,1,1,1, , , ,1,1, , , ,1,0, , , ,90 %,
HS/2018/16748,0,0, , , ,1,0, , , ,1,1, , , ,0,0, , , ,1,0, , , ,1,1, , , ,0,1, , ,1,1,0,1, , , ,0,1, , , ,0,0, , , ,0,1,0,0, , , ,1,0, , , ,0,0, , , ,43 %,
HS/2018/16749,1,0, , , ,1,1, , , ,1,1, , , ,1,1, , , ,1,1, , , ,1,1, , , ,1,0, , ,1,1,1,1, , , ,1,1, , , ,1,1, , , ,1,1,1,1, , , ,1,1, , , ,1,1, , , ,93 %,
HS/2018/16750,1,0, , , ,1,0, , , ,1,1, , , ,1,0, , , ,1,1, , , ,1,1, , , ,1,0, , ,1,1,1,1, , , ,1,1, , , ,1,1, , , ,1,1,M,1, , , ,1,0, , , ,1,0, , , ,80 %,
HS/2018/16751,0,0, , , ,0,0, , , ,1,1, , , ,0,0, , , ,0,0, , , ,1,0, , , ,0,1, , ,0,1,1,0, , , ,1,0, , , ,0,0, , , ,0,1,0,0, , , ,0,0, , , ,1,0, , , ,30 %,
HS/2018/16752,1, ,1, , ,E, ,1, , ,1, ,1, , ,1, ,1, , ,M, ,1, , ,1, ,1, , ,1, ,1, ,1,1,1, ,0, , ,1, ,1, , ,1, ,1, , ,M,1,M, ,1, , ,M, ,0, , ,1, ,1, , ,93 %,
HS/2018/16753,1,1, , , ,1,1, , , ,1,1, , , ,1,1, , , ,1,0, , , ,1,1, , , ,1,1, , ,1,1,1,1, , , ,1,1, , , ,1,1, , , ,1,1,1,0, , , ,1,1, , , ,1,1, , , ,93 %,
HS/2018/16754,1,0, , , ,1,0, , , ,1,1, , , ,1,0, , , ,1,0, , , ,1,0, , , ,1,0, , ,1,1,1,0, , , ,1,0, , , ,0,0, , , ,1,1,0,0, , , ,0,0, , , ,1,0, , , ,50 %,
HS/2018/16755,1,0, , , ,M,1, , , ,1,1, , , ,1,0, , , ,M,1, , , ,1,0, , , ,1,1, , ,1,1,1,1, , , ,1,1, , , ,1,0, , , ,1,1,M,1, , , ,1,0, , , ,1,1, , , ,83 %,
HS/2018/16756,1,1, , , ,0,0, , , ,1,1, , , ,1,1, , , ,1,1, , , ,1,1, , , ,1,1, , ,1,1,1,1, , , ,1,1, , , ,1,1, , , ,1,1,1,1, , , ,1,1, , , ,1,1, , , ,93 %,
HS/2018/16757,1,0, , , ,1,1, , , ,1,1, , , ,1,0, , , ,1,1, , , ,1,1, , , ,1,0, , ,1,1,1,1, , , ,1,1, , , ,1,1, , , ,1,1,1,0, , , ,1,0, , , ,1,0, , , ,80 %,
HS/2018/16758,1,0, , , ,1,1, , , ,1,1, , , ,1,1, , , ,1,1, , , ,1,1, , , ,1,1, , ,1,1,1,1, , , ,1,1, , , ,1,1, , , ,1,1,1,1, , , ,1,1, , , ,1,0, , , ,93 %,
HS/2018/16759,1,0, , , ,0,0, , , ,1,1, , , ,1,1, , , ,1,0, , , ,1,1, , , ,1,0, , ,1,1,1,1, , , ,1,0, , , ,1,0, , , ,0,1,1,0, , , ,1,0, , , ,1,0, , , ,63 %,
HS/2018/16760,0,1, , , ,1,1, , , ,1,1, , , ,1,0, , , ,1,1, , , ,1,1, , , ,1,1, , ,1,1,1,0, , , ,1,1, , , ,1,1, , , ,1,1,1,1, , , ,1,1, , , ,1,1, , , ,90 %,
HS/2018/16761,1, ,1, , ,1, ,1, , ,1, ,0, , ,0, ,1, , ,0, ,1, , ,1, ,1, , ,1, ,1, ,1,1,1, ,1, , ,1, ,0, , ,1, ,1, , ,1,1,1, ,1, , ,1, ,1, , ,1, ,0,1, ,87 %,
HS/2018/16762,0, ,1, , ,0, ,1, , ,1, ,1, , ,1, ,1, , ,1, ,1, , ,1, ,1, , ,1, ,1, ,1,1,1, ,1, , ,1, ,1, , ,1, ,1, , ,1,1,1, ,1, , ,1, ,1, , ,1, ,1, , ,93 %,
HS/2018/16763,0, ,1, , ,1, ,1, , ,1, ,0, , ,1, ,0, , ,0, ,0, , ,1, ,0, , ,0, ,0, ,1,1,1, ,0, , ,1, ,0, , ,1, ,0, , ,1,1,0, ,1, , ,0, ,1, , ,1, ,1, , ,57 %,
HS/2018/16764,0, ,1, , ,1, ,0, , ,1, ,0, , ,0, ,1, , ,1, ,0, , ,1, ,1, , ,1, ,0, ,1,1,1, ,1, , ,1, ,1, , ,1, ,1, , ,1,1,1, ,1, , ,1, ,1, , ,1, ,1, , ,80 %,
HS/2018/16765,0, ,1, , ,1, ,1, , ,1, ,1, , ,1, ,0, , ,1, ,1, , ,1, ,1, , ,1, ,0, ,1,1,1, ,1, , ,1, ,1, , ,1, ,1, , ,1,1,1, ,1, , ,1, ,1, , ,1, ,1, , ,90 %,
HS/2018/16766,0, ,1, , ,1, ,1, , ,1, ,0, , ,0, ,0, , ,0, ,0, , ,1, ,1, , ,1, ,0, ,1,1,1, ,1, , ,1, ,1, , ,1, ,1, , ,0,1,1, ,1, , ,1, ,0, , ,1, ,0, , ,67 %,
HS/2018/16767,1, ,1, , ,1, ,1, , ,1, ,1, , ,0, ,1, , ,1, ,1, , ,1, ,1, , ,1, ,1, ,1,1,1, ,1, , ,1, ,1, , ,1, ,1, , ,1,1,1, ,1, , ,1, ,0, , ,1, ,1, , ,93 %,
HS/2018/16768,0, ,1, , ,1, ,1, , ,1, ,1, , ,1, ,1, , ,1, ,0, , ,1, ,1, , ,1, ,1, ,1,1,1, ,1, , ,1, ,1, , ,1, ,1, , ,1,1,1, ,1, , ,1, ,0, , ,1, ,1, , ,90 %,
HS/2018/16769,0, ,1, , ,1, ,0, , ,1, ,1, , ,1, ,0, , ,1, ,1, , ,1, ,1, , ,0, ,0, ,1,1,1, ,1, , ,1, ,1, , ,1, ,1, , ,0,1,0, ,1, , ,1, ,1, , ,1, ,1, , ,77 %,
HS/2018/16770,0, ,1, , ,1, ,1, , ,1, ,0, , ,M, ,1, , ,0, ,1, , ,0, ,0, , ,1, ,1, ,1,1,1, ,1, , ,0, ,1, , ,1, ,1, , ,1,1,1, ,1, ,1,M, ,1, , ,1, ,1, , ,83 %,
HS/2018/16771,1, ,1, , ,0, ,0, , ,1, ,0, , ,0, ,0, , ,1, ,0, ,1,1, ,1, , ,1, ,1, ,1,1,1, ,1, , ,E, ,0, , ,1, ,1, , ,1,1,E, ,1, , ,0, ,0, , ,1, ,0, , ,72 %,
HS/2018/16772,0, ,1, , ,1, ,1, , ,1, ,0, , ,1, ,1, , ,0, ,1, , ,0, ,0, , ,1, ,1, ,0,1,0, ,1, , ,1, ,1, , ,0, ,1, , ,1,1,0, ,1, , ,1, ,1, , ,1, ,0, , ,67 %,
HS/2018/16773,0, ,1, , ,0, ,1, , ,1, ,1, , ,1, ,0, , ,1, ,1, , ,1, ,1, , ,1, ,1, ,1,1,1, ,1, , ,1, ,1, , ,1, ,1, , ,1,1,1, ,1, , ,1, ,1, , ,1, ,1, , ,90 %,
HS/2018/16774,1, ,1, , ,1, ,1, , ,1, ,1, , ,1, ,1, , ,1, ,1, , ,1, ,1, , ,1, ,1, ,1,1,1, ,1, , ,1, ,1, , ,1, ,1, , ,1,1,1, ,1, , ,1, ,1, , ,1, ,1, , ,100 %,
HS/2018/16775,1, ,1, , ,0, ,1, , ,1, ,1, , ,0, ,1, , ,1, ,1, , ,1, ,1, , ,1, ,1, ,1,1,1, ,1, , ,1, ,1, , ,1, ,1, , ,1,1,1, ,1, , ,1, ,0, , ,1, ,1, , ,90 %,
HS/2018/16776,0, ,1, , ,0, ,1, , ,1, ,1, , ,1, ,0, , ,1, ,1, , ,0, ,1, , ,1, ,1, ,1,1,1, ,1, , ,1, ,1, , ,1, ,0, , ,1,1,0, ,1, , ,1, ,1, , ,1, ,1, , ,80 %,
HS/2018/16777,0, ,1, , ,1, ,1, , ,1, ,0, , ,1, ,1, , ,1, ,0, , ,1, ,1, , ,1, ,1, ,1,1,1, ,1, , ,1, ,1, , ,1, ,1, , ,1,1,1, ,1, , ,1, ,1, , ,1, ,1, , ,90 %,
HS/2018/16778,0, ,1, , ,M, ,1, , ,1, ,1, , ,1, ,0, , ,1, ,1, , ,1, ,1, , ,1, ,1, ,1,1,1, ,0, , ,1, ,0, , ,1, ,0, , ,0,1,1, ,1, , ,1, ,0, , ,1, ,1, , ,77 %,
HS/2018/16779,1, ,1, , ,1, ,1, , ,1, ,1, , ,1, ,1, , ,1, ,1, , ,1, ,1, , ,1, ,0, ,1,1,1, ,1, , ,1, ,0, , ,1, ,1, , ,1,1,1, ,1, , ,1, ,1, , ,1, ,1, , ,93 %,
HS/2018/16780,0, ,1, , ,1, ,1, , ,1, ,1, , ,1, ,0, , ,1, ,0, , ,0, ,1, , ,1, ,1, ,1,1,0, ,0, , ,0, ,0, , ,1, ,1, , ,0,1,1, ,1, , ,1, ,1, , ,1, ,1, , ,70 %,
HS/2018/16781,1, ,1, , ,1, ,1, , ,1, ,1, , ,1, ,0, , ,0, ,0, , ,1, ,1,1, ,1, ,1, ,1,1,1, ,1, , ,0, ,1, , ,1, ,1, , ,1,1,1, ,1, , ,1, ,1, , ,1, ,1, , ,90 %,
HS/2018/16782,0, ,1, , ,1, ,1, , ,1, ,1, , ,0, ,1, , ,1, ,1, , ,1, ,1, , ,1, ,1, ,1,1,1, ,1, , ,1, ,1, , ,1, ,1, , ,1,1,0, ,1, , ,1, ,0, , ,1, ,0, , ,83 %,
HS/2018/16783,0, ,1, , ,1, ,1, , ,1, ,0, , ,1, ,1, , ,0, ,0, , ,1, ,1, , ,1, ,1, ,1,1,1, ,1, , ,1, ,0, , ,1, ,1, , ,1,1,0, ,1, , ,1, ,1, , ,1, ,1, , ,80 %,
HS/2018/16784,0, ,1, , ,1, ,1, , ,1, ,1, , ,1, ,0, , ,M, ,1, , ,1, ,1, , ,0, ,0, ,0,1,1, ,1, , ,1, ,1, , ,1, ,1, , ,1,1,1, ,1, , ,1, ,1, , ,1, ,1, , ,83 %,
HS/2018/16785,0, ,1, , ,1, ,1, , ,1, ,0, , ,1, ,0, , ,0, ,0,1, ,0, ,0, , ,1, ,0, ,0,1,0, ,1, , ,1, ,1, , ,0, ,0, , ,1,1,0, ,1, , ,1, ,1, , ,0, ,1, , ,57 %,
HS/2018/16786,1, ,1, , ,1, ,1, , ,1, ,1, , ,1, ,1, , ,1, ,1, , ,1, ,1, , ,1, ,1, ,1,1,1, ,1, , ,1, ,1, , ,1, ,1, , ,0,1,1, ,1, , ,1, ,0, , ,1, ,1, , ,93 %,
HS/2018/16787,1, ,1, , ,1, ,1, , ,1, ,0, , ,1, ,0, , ,1, ,1, , ,1, ,1, , ,1, ,1, ,1,1,1, ,1, , ,0, ,1, , ,1, ,1, , ,1,1,1, ,1, , ,1, ,0, , ,1, ,1, , ,87 %,
HS/2018/16788,0, ,1, , ,1, ,1, , ,1, ,0, , ,1, ,1, , ,1, ,0, , ,1, ,1, , ,1, ,0, ,1,1,1, ,1, , ,1, ,1, , ,1, ,1, , ,1,1,1, ,1, , ,1, ,0, , ,1, ,1, , ,83 %,
HS/2018/16789,0, ,1, , ,1, ,1, , ,1, ,1, , ,1, ,1, , ,1, ,0, , ,1, ,1, , ,1, ,1, ,1,1,1, ,1, , ,1, ,1, , ,1, ,1, , ,1,1,1, ,1, , ,1, ,0, , ,1, ,1, , ,90 %,
HS/2018/16790,1, ,1, , ,1, ,1, , ,1, ,1, , ,1, ,1, , ,1, ,1, , ,1, ,1, , ,1, ,0, ,0,1,1, ,1, , ,1, ,0, , ,1, ,1, , ,1,1,1, ,1, , ,1, ,1, , ,1, ,1, , ,90 %,
HS/2018/16791,0, ,1, , ,1, ,1, , ,1, ,0, , ,1, ,1, , ,1, ,1, , ,1, ,1, , ,1, ,1, ,1,1,1, ,1, , ,1, ,1, , ,1, ,1, , ,1,1,1, ,1, , ,1, ,1, , ,1, ,1, , ,93 %,
HS/2018/16792,0, ,1, , ,0, ,0, , ,1, ,0, , ,1, ,0, , ,1, ,0, , ,1, ,1, , ,1, ,0, ,0,1,1, ,0, , ,1, ,0, , ,1, ,0, , ,0,1,1, ,1, , ,1, ,1, , ,1, ,0, , ,57 %,
HS/2018/16793,0, ,1, , ,1, ,1, , ,1, ,0, , ,1, ,0, , ,0, ,1, , ,1, ,1, , ,1, ,1, ,1,1,1, ,1, , ,1, ,1, , ,1, ,1, , ,1,1,1, ,1, , ,1, ,0, , ,1, ,1, , ,83 %,
HS/2018/16794,1, ,1, , ,1, ,1, , ,1, ,1, , ,1, ,1, , ,0, ,0, ,1,1, ,1, , ,1, ,1, ,1,1,1, ,1, , ,1, ,1, , ,1, ,1, , ,1,1,1, ,1, , ,1, ,1, , ,0, ,0, , ,92 %,
HS/2018/16795,0, ,1, , ,1, ,1, , ,1, ,0, , ,1, ,0, , ,1, ,1, , ,1, ,1, , ,1, ,1, ,1,1,1, ,1, , ,0, ,1, , ,1, ,1, , ,1,1,1, ,1, , ,1, ,1, , ,1, ,1, , ,87 %,
HS/2018/16796,0, ,1, , ,1, ,1, , ,1, ,1, , ,1, ,0, , ,1, ,1, , ,1, ,1, , ,1, ,1, ,1,1,1, ,1, , ,1, ,1, , ,1, ,1, , ,1,1,1, ,1, , ,1, ,1, , ,1, ,1, , ,93 %,
HS/2018/16798,0, ,1, , ,1, ,1, , ,1, ,1, , ,0, ,1, , ,0, ,0, , ,0, ,1, , ,1, ,1, ,1,1,1, ,1, , ,0, ,0, , ,0, ,0, , ,1,1,0, ,1, , ,0, ,0, , ,0, ,0, , ,53 %,
HS/2018/16799,0, ,1, , ,0, ,1, , ,1, ,0, , ,1, ,0, , ,1, ,0, , ,1, ,1, , ,1, ,1, ,0,1,1, ,1, , ,0, ,1, , ,1, ,0, , ,1,1,1, ,1, , ,1, ,0, , ,1, ,0, , ,67 %,
