Current Attendence Sheet Data of SOC32623  |  All Type


-,2019-01-30-13:00:00-Lect-2H-ng,2019-08-05-13:00:00-Lect-1H-ng,2019-08-21-13:00:00-Lect-1H-ng,2019-08-21-13:00:00-Lect-1H-ng,2019-12-18-13:00:00-Lect-1H-ng,2019-12-23-13:00:00-Lect-2H-ng,2020-01-01-13:00:00-Lect-1H-ng,2020-01-06-13:00:00-Lect-2H-ng,2020-01-08-13:00:00-Lect-1H-ng,2020-01-13-13:00:00-Lect-2H-ng,2020-01-20-13:00:00-Lect-2H-ng,2020-01-27-13:00:00-Lect-2H-ng,2020-01-29-13:00:00-Lect-1H-ng,2020-02-03-15:00:00-Lect-1H-ng,2020-02-05-13:00:00-Lect-1H-ng,2020-02-10-13:00:00-Lect-1H-ng,2020-02-12-13:00:00-Lect-3H-ng,%
HS/2016/15705,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,92 %,
HS/2016/15712,0,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,80 %,
HS/2016/15724,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,96 %,
HS/2016/15734,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,88 %,
HS/2016/15735,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,88 %,
HS/2016/15761,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,96 %,
HS/2016/15786,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,96 %,
HS/2016/15814,0,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,84 %,
HS/2016/15862,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,96 %,
HS/2016/15868,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,92 %,
HS/2016/15871,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,92 %,
HS/2016/15880,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,92 %,
HS/2016/15891,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,84 %,
HS/2016/15895,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,96 %,
HS/2016/15897,1,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,84 %,
HS/2016/15904,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,92 %,
HS/2016/15909,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,92 %,
HS/2016/15923,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,92 %,
HS/2016/15939,1,1,0,1,1,1,1,1,0,1,1,1,0,1,1,1,1,88 %,
HS/2016/15948,0,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,84 %,
HS/2016/15962,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,92 %,
HS/2016/15965,1,1,0,1,1,0,1,1,1,1,1,1,1,0,1,1,1,84 %,
HS/2016/15969,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,84 %,
HS/2016/15972,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,96 %,
HS/2016/15976,1,1,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,84 %,
HS/2016/15983,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,96 %,
HS/2016/15984,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,88 %,
HS/2016/15997,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,92 %,
HS/2016/16010,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,92 %,
HS/2016/16058,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,96 %,
HS/2016/16066,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,88 %,
HS/2016/16073,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,96 %,
HS/2016/16078,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,96 %,
HS/2016/16080,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,96 %,
HS/2016/16081,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,96 %,
HS/2016/16083,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,84 %,
HS/2016/16089,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,96 %,
Total,32,33,4,35,33,33,34,37,32,35,35,37,35,34,37,37,36,
