Current Attendence Sheet Data of FDN22513  |  All Type


-,2019-07-29-16:00:00-Lect-1H-ng,2019-08-05-16:00:00-Lect-1H-ng,2019-08-06-13:00:00-Lect-2H-ng,2019-08-13-13:00:00-Lect-2H-ng,2019-08-19-16:00:00-Lect-1H-ng,2019-08-20-13:00:00-Lect-2H-ng,2019-12-09-16:00:00-Lect-1H-ng,2019-12-10-13:00:00-Lect-2H-ng,2019-12-16-16:00:00-Lect-1H-ng,2019-12-17-13:00:00-Lect-2H-ng,2019-12-23-16:00:00-Lect-1H-ng,2019-12-24-13:00:00-Lect-2H-ng,2019-12-31-13:00:00-Lect-2H-ng,2020-01-06-16:00:00-Lect-1H-ng,2020-01-07-13:00:00-Lect-2H-ng,2020-01-13-16:00:00-Lect-1H-ng,2020-01-14-13:00:00-Lect-2H-ng,2020-01-20-16:00:00-Lect-1H-ng,2020-01-21-09:00:00-Lect-2H-ng,2020-01-27-16:00:00-Lect-1H-ng,2020-01-28-13:00:00-Lect-2H-ng,2020-02-03-16:00:00-Lect-1H-ng,2020-02-10-16:00:00-Lect-1H-ng,2020-02-11-13:00:00-Lect-2H-ng,2020-02-17-16:00:00-Lect-1H-ng,2020-02-18-13:00:00-Lect-2H-ng,%
HS/2015/15617,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,100 %,
HS/2017/16147,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,97 %,
HS/2017/16151,0,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,82 %,
HS/2017/16152,0,0,0,1,1,1,0,M,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,85 %,
HS/2017/16153,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,92 %,
HS/2017/16155,0,0,1,M,1,1,1,1,1,1,1,M,1,1,M,1,1,0,0,1,M,1,1,1,1,1,87 %,
HS/2017/16156,0,M,M,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,M,1,1,1,1,1,87 %,
HS/2017/16161,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,90 %,
HS/2017/16162,0,M,M,M,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,92 %,
HS/2017/16164,0,1,1,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,85 %,
HS/2017/16171,M,M,M,0,1,0,1,1,1,M,1,M,1,1,1,1,0,1,1,1,1,1,1,1,1,1,85 %,
HS/2017/16172,0,M,0,M,M,M,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,82 %,
HS/2017/16173,0,1,0,0,1,0,1,1,1,M,M,M,1,0,1,1,1,M,M,1,1,1,1,1,1,1,79 %,
HS/2017/16174,0,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,87 %,
HS/2017/16177,M,M,0,0,1,1,1,1,1,1,0,0,M,M,M,1,M,M,M,M,1,1,1,1,M,1,82 %,
HS/2017/16182,M,M,M,M,M,M,M,M,1,1,1,1,M,M,M,1,1,1,1,1,M,0,M,1,0,1,95 %,
HS/2017/16183,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,87 %,
HS/2017/16184,0,1,0,0,1,0,M,M,0,M,1,M,1,1,1,1,1,M,M,1,1,1,1,1,1,1,79 %,
HS/2017/16185,0,0,0,1,1,0,0,0,0,0,1,1,1,0,0,0,0,1,1,1,1,0,1,1,0,0,44 %,
HS/2017/16187,0,1,0,0,1,0,1,M,1,1,1,M,1,0,1,1,1,1,1,1,M,1,1,1,1,1,79 %,
HS/2017/16193,0,1,1,0,1,0,0,0,1,1,0,0,1,1,1,1,0,1,1,1,1,M,M,M,0,1,64 %,
HS/2017/16194,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,10 %,
HS/2017/16195,0,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,87 %,
HS/2017/16197,M,1,M,M,1,M,1,1,1,M,1,1,M,1,1,1,1,M,1,1,M,1,1,1,M,1,100 %,
HS/2017/16198,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,1,1,0,0,38 %,
HS/2017/16208,0,1,1,1,1,0,M,M,1,1,1,1,M,1,1,1,1,1,1,M,M,1,1,1,1,1,92 %,
HS/2017/16211,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,92 %,
HS/2017/16214,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,92 %,
HS/2017/16219,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,1,1,1,0,0,33 %,
HS/2017/16220,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,97 %,
HS/2017/16221,0,1,0,0,1,0,1,1,1,1,1,M,1,1,1,1,1,1,1,1,1,1,1,1,1,1,82 %,
HS/2017/16222,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,1,0,1,1,0,1,33 %,
HS/2017/16225,M,0,M,1,0,M,M,M,M,1,M,1,1,0,1,M,1,0,1,M,1,M,1,1,M,1,90 %,
HS/2017/16226,M,M,M,M,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,92 %,
HS/2017/16228,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,87 %,
HS/2017/16229,M,M,M,M,1,1,M,M,1,1,1,1,1,1,1,1,1,1,1,1,1,M,1,1,1,1,100 %,
HS/2017/16230,0,1,1,1,1,M,1,1,1,M,1,M,M,1,M,0,M,1,M,1,M,M,0,1,1,M,92 %,
HS/2017/16232,0,M,M,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,1,0,0,1,0,0,38 %,
HS/2017/16236,0,1,0,1,1,0,1,M,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,85 %,
HS/2017/16237,M,1,M,0,1,M,1,M,1,M,1,M,M,1,1,0,1,1,M,1,1,1,1,1,1,1,92 %,
HS/2017/16243,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3 %,
HS/2017/16244,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,62 %,
HS/2017/16250,0,0,0,1,0,1,1,1,0,0,0,0,1,1,1,1,1,0,0,1,1,1,1,1,1,1,64 %,
HS/2017/16253,0,1,1,1,1,0,1,0,1,1,0,0,1,1,1,1,1,0,1,1,1,1,1,1,0,0,69 %,
HS/2017/16254,0,1,1,1,1,0,1,1,1,0,M,M,1,1,1,1,1,1,1,1,1,0,1,1,1,1,85 %,
HS/2017/16256,M,1,M,1,M,M,1,M,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,100 %,
HS/2017/16260,M,1,0,M,0,0,1,1,1,1,1,M,1,0,1,0,1,1,1,1,1,1,1,1,1,1,82 %,
HS/2017/16261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 %,
HS/2017/16263,M,M,M,M,M,M,M,M,M,M,1,M,1,1,1,1,1,1,1,1,1,0,1,1,1,1,97 %,
HS/2017/16267,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,90 %,
HS/2017/16270,0,1,0,0,1,0,0,0,1,1,1,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,31 %,
HS/2017/16271,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,1,1,1,0,0,1,0,0,38 %,
HS/2017/16273,0,1,M,M,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,85 %,
HS/2017/16276,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,87 %,
HS/2017/16277,0,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,82 %,
HS/2017/16279,0,0,E,E,1,E,1,1,1,0,1,1,1,1,1,1,E,1,1,1,1,1,1,1,0,0,82 %,
HS/2017/16280,0,0,0,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,69 %,
HS/2017/16281,0,1,M,M,1,M,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,0,1,85 %,
HS/2017/16283,0,1,0,0,1,M,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,77 %,
HS/2017/16286,0,1,M,M,1,M,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,0,1,79 %,
HS/2017/16287,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,92 %,
HS/2017/16288,0,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,87 %,
HS/2017/16290,0,1,1,E,1,0,1,1,1,1,1,0,E,1,1,1,1,1,1,1,1,1,1,1,1,1,87 %,
HS/2017/16292,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,87 %,
HS/2017/16297,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,97 %,
