Current Attendence Sheet Data of HIS32623  |  All Type


-,2019-08-01-13:00:00-Lect-2H-ng,2019-08-08-13:00:00-Lect-2H-ng,2019-08-15-13:00:00-Lect-3H-ng,2019-08-21-08:00:00-Lect-1H-ng,2019-12-12-13:00:00-Lect-3H-ng,2019-12-18-08:00:00-Lect-1H-ng,2019-12-19-13:00:00-Lect-2H-ng,2020-01-01-08:00:00-Lect-1H-ng,2020-01-02-13:00:00-Lect-3H-ng,2020-01-08-08:00:00-Lect-1H-ng,2020-01-09-13:00:00-Lect-3H-ng,2020-01-13-08:00:00-Lect-1H-ng,2020-01-14-12:00:00-Lect-1H-ng,2020-01-17-14:00:00-Lect-3H-ng,2020-01-20-11:00:00-Lect-1H-ng,2020-01-22-08:00:00-Lect-1H-ng,2020-01-23-13:00:00-Lect-3H-ng,2020-01-27-11:00:00-Lect-1H-ng,2020-01-29-08:00:00-Lect-1H-ng,2020-01-30-13:00:00-Lect-3H-ng,2020-02-03-09:00:00-Lect-2H-ng,2020-02-05-08:00:00-Lect-1H-ng,2020-02-06-13:00:00-Lect-3H-ng,2020-02-10-11:00:00-Lect-1H-ng,2020-02-12-08:00:00-Lect-1H-ng,2020-02-13-13:00:00-Lect-3H-ng,2020-02-17-11:00:00-Lect-2H-ng,2020-02-19-08:00:00-Lect-1H-ng,%
HS/2016/15998,E,E,E,1,E,E,E,1,0,1,E,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,0,84 %,
HS/2016/16000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,E,1,1,1,0,1,1,1,98 %,
HS/2016/16002,M,1,1,1,1,1,1,1,1,1,1,1,1,M,1,1,1,1,1,1,M,1,1,1,1,1,M,1,100 %,
HS/2016/16012,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,98 %,
HS/2016/16026,E,1,E,E,E,1,E,1,1,1,1,E,E,1,1,1,E,E,1,1,1,1,1,1,1,1,1,1,100 %,
HS/2016/16027,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,100 %,
HS/2016/16038,E,1,1,0,1,1,1,1,1,0,1,1,1,M,1,1,1,1,1,1,0,1,1,1,1,1,1,1,92 %,
HS/2016/16051,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,100 %,
HS/2016/16074,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,E,0,1,1,1,1,1,1,86 %,
HS/2016/16082,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,E,E,1,1,1,1,1,1,100 %,
HS/2016/16090,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,98 %,
HS/2016/16091,0,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,88 %,
HS/2016/16108,0,E,E,E,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1,1,E,1,1,0,1,1,1,84 %,
Total,23,44,42,41,43,45,46,45,48,44,48,44,47,47,47,48,47,46,49,49,40,47,49,49,44,49,48,45,
