Current Attendence Sheet Data of HIS22513  |  All Type


-,2019-08-02-16:00:00-Lect-2H-ng,2019-08-09-12:00:00-Lect-1H-ng,2019-08-09-16:00:00-Lect-2H-ng,2019-08-21-16:00:00-Lect-1H-ng,2019-08-22-16:00:00-Lect-1H-ng,2019-12-18-15:00:00-Lect-2H-ng,2020-01-01-15:00:00-Lect-2H-ng,2020-01-02-12:00:00-Lect-1H-ng,2020-01-08-15:00:00-Lect-2H-ng,2020-01-09-12:00:00-Lect-1H-ng,2020-01-16-12:00:00-Lect-1H-ng,2020-01-22-15:00:00-Lect-2H-ng,2020-01-29-15:00:00-Lect-2H-ng,2020-01-30-12:00:00-Lect-1H-ng,2020-02-05-15:00:00-Lect-2H-ng,2020-02-06-12:00:00-Lect-1H-ng,2020-02-13-12:00:00-Lect-1H-ng,%
HS/2017/16381,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,84 %,
HS/2017/16390,0,E,0,0,0,1,1,1,1,0,1,1,1,1,1,1,1,72 %,
HS/2017/16393,0,0,1,0,0,1,1,1,1,0,1,1,1,1,1,1,1,76 %,
HS/2017/16394,M,M,M,M,M,1,1,0,M,M,M,1,0,1,1,1,1,88 %,
HS/2017/16395,0,1,0,1,0,1,0,0,1,1,1,1,1,1,0,0,1,56 %,
HS/2017/16400,1,1,1,0,0,1,1,1,1,1,0,1,1,0,1,1,0,80 %,
HS/2017/16403,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,8 %,
HS/2017/16409,0,1,0,1,0,1,1,1,1,E,1,1,1,1,1,0,1,76 %,
HS/2017/16411,0,0,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,80 %,
HS/2017/16412,0,0,0,1,0,1,1,1,1,1,1,0,0,1,1,1,1,60 %,
HS/2017/16413,1,E,E,E,E,E,1,E,0,1,E,0,1,E,1,1,1,84 %,
HS/2017/16416,0,M,1,M,M,1,1,1,1,1,1,E,1,1,1,1,1,92 %,
HS/2017/16427,0,0,0,0,0,1,1,1,1,1,1,0,0,0,M,0,0,44 %,
HS/2017/16432,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,92 %,
HS/2017/16438,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,84 %,
HS/2017/16445,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,84 %,
HS/2017/16447,0,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,80 %,
HS/2017/16448,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,76 %,
HS/2017/16450,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,84 %,
HS/2017/16453,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,96 %,
HS/2017/16464,1,0,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,88 %,
HS/2017/16473,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,96 %,
HS/2017/16482,1,M,M,M,M,1,1,M,1,1,0,1,1,0,1,0,0,84 %,
HS/2017/16483,1,0,1,0,0,1,1,1,1,1,1,1,1,1,1,0,1,84 %,
HS/2017/16484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 %,
HS/2017/16491,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,88 %,
HS/2017/16503,M,M,M,1,M,1,1,1,1,0,1,1,1,1,1,1,0,92 %,
HS/2017/16506,1,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,32 %,
HS/2017/16508,M,M,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,88 %,
HS/2017/16513,0,M,M,1,M,1,1,1,1,1,1,1,1,1,1,1,1,92 %,
HS/2017/16519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 %,
HS/2017/16520,1,0,1,1,0,M,1,1,1,1,1,1,1,1,1,1,1,92 %,
HS/2017/16524,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,96 %,
HS/2017/16525,1,1,0,0,0,1,1,1,1,0,1,1,1,1,1,1,1,80 %,
HS/2017/16527,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,88 %,
HS/2017/16529,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,84 %,
HS/2017/16530,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,88 %,
HS/2017/16547,M,M,M,1,M,1,1,1,1,1,1,1,1,1,1,1,1,100 %,
HS/2017/16550,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,84 %,
HS/2017/16551,0,0,0,1,0,1,1,1,1,1,1,0,0,1,1,1,1,60 %,
HS/2017/16552,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,96 %,
