Current Attendence Sheet Data of ECN22633  |  All Type


-,2019-08-05-08:00:00-Lect-2H-ng,2019-08-05-08:00:00-Lect-2H-ng,2019-08-09-08:00:00-Lect-2H-ng,2019-08-09-08:00:00-Lect-2H-ng,2019-08-19-08:00:00-Lect-2H-ng,2019-08-23-08:00:00-Lect-2H-ng,2019-12-13-08:00:00-Lect-2H-ng,2019-12-16-08:00:00-Lect-2H-ng,2019-12-23-08:00:00-Lect-2H-ng,2020-01-01-09:00:00-Lect-2H-ng,2020-01-13-09:00:00-Lect-2H-ng,2020-01-31-09:00:00-Lect-2H-ng,2020-02-03-09:00:00-Lect-2H-ng,2020-02-05-09:00:00-Lect-2H-ng,2020-02-07-09:00:00-Lect-2H-ng,2020-02-10-11:00:00-Lect-2H-ng,2020-02-14-11:00:00-Lect-2H-ng,2020-02-17-11:00:00-Lect-2H-ng,2020-02-19-11:00:00-Lect-2H-ng,%
HS/2017/16150,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,89 %,
HS/2017/16191,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,0,79 %,
HS/2017/16209,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,89 %,
HS/2017/16212,0,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,84 %,
HS/2017/16215,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,89 %,
HS/2017/16218,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,95 %,
HS/2017/16238,0,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,84 %,
HS/2017/16242,0,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,84 %,
HS/2017/16268,1,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,79 %,
HS/2017/16269,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,89 %,
HS/2017/16301,1,1,1,1,1,0,1,1,0,1,0,1,1,1,1,1,1,1,1,84 %,
HS/2017/16344,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,89 %,
HS/2017/16361,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,89 %,
HS/2017/16369,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,89 %,
HS/2017/16380,1,1,1,1,1,0,1,1,1,1,0,1,1,1,0,1,0,1,1,79 %,
HS/2017/16388,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,79 %,
HS/2017/16420,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,95 %,
HS/2017/16425,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,84 %,
HS/2017/16430,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,95 %,
HS/2017/16435,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,89 %,
HS/2017/16441,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,84 %,
HS/2017/16442,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,95 %,
HS/2017/16461,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,84 %,
HS/2017/16467,0,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,84 %,
HS/2017/16500,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,89 %,
HS/2017/16567,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,89 %,
HS/2017/16573,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,84 %,
Total,4,24,23,24,24,18,26,27,22,25,23,27,27,27,26,26,21,26,26,
