Current Attendence Sheet Data of FDN22613  |  All Type


-,2019-07-29-16:00:00-Lect-1H-ng,2019-08-05-16:00:00-Lect-1H-ng,2019-08-06-13:00:00-Lect-2H-ng,2019-08-13-13:00:00-Lect-2H-ng,2019-08-19-16:00:00-Lect-1H-ng,2019-08-20-13:00:00-Lect-2H-ng,2019-12-09-16:00:00-Lect-1H-ng,2019-12-10-13:00:00-Lect-2H-ng,2019-12-16-16:00:00-Lect-1H-ng,2019-12-17-13:00:00-Lect-2H-ng,2019-12-23-13:00:00-Lect-1H-ng,2019-12-24-13:00:00-Lect-2H-ng,2019-12-31-13:00:00-Lect-2H-ng,2020-01-06-16:00:00-Lect-1H-ng,2020-01-07-13:00:00-Lect-2H-ng,2020-01-13-16:00:00-Lect-1H-ng,2020-01-14-13:00:00-Lect-2H-ng,2020-01-20-16:00:00-Lect-1H-ng,2020-01-21-13:00:00-Lect-2H-ng,2020-01-27-16:00:00-Lect-1H-ng,2020-01-28-13:00:00-Lect-2H-ng,2020-02-03-16:00:00-Lect-1H-ng,2020-02-10-16:00:00-Lect-1H-ng,2020-02-11-13:00:00-Lect-2H-ng,2020-02-17-16:00:00-Lect-1H-ng,2020-02-18-13:00:00-Lect-2H-ng,%
HS/2017/16145,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,95 %,
HS/2017/16146,0,1,0,0,0,0,1,1,0,0,1,1,1,1,0,1,1,0,0,1,1,0,1,1,1,1,56 %,
HS/2017/16148,0,1,1,M,1,M,M,M,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,97 %,
HS/2017/16149,M,1,M,M,M,1,M,M,M,1,M,1,M,1,M,M,M,1,1,1,1,1,1,1,1,1,100 %,
HS/2017/16150,M,0,1,1,1,M,0,1,1,1,1,1,1,1,1,1,1,1,M,1,1,0,1,1,1,1,92 %,
HS/2017/16158,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,87 %,
HS/2017/16159,0,1,1,0,1,1,0,1,1,1,M,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,82 %,
HS/2017/16160,0,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,82 %,
HS/2017/16165,0,1,M,M,1,0,1,0,1,1,1,0,1,1,1,1,1,1,1,1,M,M,1,1,1,1,82 %,
HS/2017/16166,0,0,1,0,1,1,M,M,0,1,1,1,M,1,1,1,1,1,1,1,1,1,1,1,1,1,87 %,
