Current Attendence Sheet Data of SUP12513  |  All Type


-,2019-08-02-09:00:00-Lect-2H-ng,2019-08-06-13:00:00-Lect-1H-ng,2019-08-09-09:00:00-Lect-2H-ng,2019-08-13-13:00:00-Lect-1H-ng,2019-08-16-09:00:00-Lect-2H-ng,2019-08-20-09:00:00-Lect-2H-ng,2019-08-23-09:00:00-Lect-2H-ng,2019-12-10-12:00:00-Lect-1H-ng,2019-12-13-09:00:00-Lect-2H-ng,2019-12-20-09:00:00-Lect-2H-ng,2019-12-27-09:00:00-Lect-2H-ng,2019-12-31-13:00:00-Lect-1H-ng,2020-01-08-17:00:00-Lect-1H-ng,2020-01-17-09:00:00-Lect-2H-ng,2020-01-22-17:00:00-Lect-2H-ng,2020-01-24-16:00:00-Lect-1H-ng,2020-01-29-17:00:00-Lect-1H-ng,2020-01-31-15:00:00-Lect-2H-ng,2020-02-05-17:00:00-Lect-1H-ng,2020-02-07-16:00:00-Lect-1H-ng,2020-02-12-12:00:00-Lect-1H-ng,2020-02-14-15:00:00-Lect-2H-ng,2020-02-18-12:00:00-Lect-1H-ng,%
HS/2017/16154,M,M,M,M,M,M,M,1,1,1,1,1,1,1,M,1,1,1,1,1,1,1,1,100 %,
HS/2017/16446,1,M,1,M,1,1,M,1,1,1,0,1,1,0,1,1,1,0,1,1,1,1,1,83 %,
HS/2018/16620,1,1,0,M,M,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,89 %,
HS/2018/16621,1,1,1,1,1,1,M,M,1,1,1,1,M,0,0,0,0,1,1,1,1,1,1,83 %,
HS/2018/16622,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,89 %,
HS/2018/16623,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,83 %,
HS/2018/16624,1,1,1,1,1,1,0,1,1,1,1,E,1,1,1,1,1,1,0,0,0,1,1,86 %,
HS/2018/16625,1,0,1,0,1,1,0,0,1,1,1,E,1,1,1,1,0,1,1,1,1,1,1,83 %,
HS/2018/16626,M,1,1,M,1,1,0,0,M,1,1,1,1,1,1,1,1,1,M,M,1,1,1,91 %,
HS/2018/16627,1,0,1,M,M,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,86 %,
HS/2018/16628,M,M,1,1,1,1,M,M,1,M,M,E,1,M,1,M,1,1,1,M,1,1,1,100 %,
HS/2018/16629,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,91 %,
HS/2018/16630,0,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,80 %,
HS/2018/16632,M,1,1,M,1,1,0,1,1,1,1,E,0,1,0,1,1,1,1,1,1,1,0,83 %,
HS/2018/16633,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,100 %,
HS/2018/16634,M,1,1,M,1,1,M,1,0,1,1,1,1,1,0,1,1,1,0,1,1,1,1,86 %,
HS/2018/16635,1,1,1,1,1,1,M,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,100 %,
HS/2018/16636,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,94 %,
HS/2018/16637,1,1,1,0,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,86 %,
HS/2018/16638,1,1,1,0,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,86 %,
HS/2018/16639,0,1,1,1,1,1,M,1,1,1,M,M,1,1,1,1,1,1,1,1,1,1,1,94 %,
HS/2018/16640,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,91 %,
HS/2018/16641,M,1,1,1,1,1,M,1,1,1,M,E,1,1,0,1,1,0,1,1,1,1,1,89 %,
HS/2018/16642,1,1,1,0,0,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,83 %,
HS/2018/16643,1,1,1,0,1,1,0,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,80 %,
HS/2018/16644,M,1,1,M,1,1,M,0,1,1,0,E,1,1,1,1,1,0,1,1,1,1,1,86 %,
HS/2018/16645,1,1,1,0,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,86 %,
HS/2018/16646,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,91 %,
HS/2018/16647,1,0,0,0,1,1,0,M,M,1,M,E,1,1,1,0,1,1,1,1,1,1,1,80 %,
HS/2018/16648,1,0,1,0,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,83 %,
HS/2018/16649,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,86 %,
HS/2018/16651,1,1,1,0,1,1,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,80 %,
HS/2018/16652,1,0,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,83 %,
HS/2018/16654,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,94 %,
HS/2018/16655,1,1,1,1,1,1,0,1,1,1,0,1,0,1,0,1,1,1,1,1,1,1,1,80 %,
HS/2018/16656,1,1,1,0,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,86 %,
HS/2018/16657,1,1,1,0,1,1,0,1,1,1,0,E,1,1,1,1,1,1,1,1,1,1,1,86 %,
HS/2018/16658,0,0,0,0,0,1,0,0,1,1,0,1,1,0,0,0,0,1,0,0,0,1,1,37 %,
HS/2018/16659,0,1,0,0,1,1,0,0,1,1,0,E,1,0,1,1,1,1,1,1,1,1,1,66 %,
HS/2018/16660,M,1,1,M,M,1,0,1,1,1,0,1,1,1,1,0,1,1,1,1,0,1,1,83 %,
HS/2018/16661,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,91 %,
HS/2018/16662,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,86 %,
HS/2018/16663,1,1,1,0,1,1,0,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,80 %,
HS/2018/16664,1,0,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,80 %,
HS/2018/16665,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,89 %,
HS/2018/16666,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,91 %,
HS/2018/16667,1,1,1,0,1,1,M,M,M,1,1,1,1,1,1,0,1,0,1,1,1,0,1,83 %,
HS/2018/16668,M,M,1,0,1,1,0,0,1,1,0,E,1,1,1,1,1,1,1,1,1,1,1,83 %,
HS/2018/16669,1,0,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,86 %,
HS/2018/16670,1,1,1,1,1,1,0,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,86 %,
HS/2018/16671,1,0,1,0,1,1,0,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,80 %,
HS/2018/16672,1,0,0,0,1,1,1,1,1,1,0,E,1,1,1,1,1,1,0,1,1,1,1,80 %,
HS/2018/16673,1,1,1,0,1,1,0,1,1,1,0,E,1,1,1,1,0,1,1,1,1,1,0,80 %,
HS/2018/16674,M,M,1,0,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,86 %,
HS/2018/16675,1,1,0,0,1,1,0,1,1,1,0,E,1,1,1,1,1,1,1,1,1,1,1,80 %,
HS/2018/16676,1,0,1,0,1,1,0,1,1,1,0,E,1,1,1,1,1,1,1,1,1,1,1,83 %,
HS/2018/16677,1,1,1,0,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,89 %,
HS/2018/16678,1,1,1,0,1,1,0,1,1,1,0,E,1,1,1,1,1,1,1,1,1,1,1,86 %,
HS/2018/16679,1,M,1,M,1,1,0,1,1,1,1,E,1,1,1,1,0,1,0,0,0,1,1,83 %,
HS/2018/16680,1,1,1,1,1,1,0,0,0,1,1,1,1,1,0,0,0,0,1,0,1,1,1,66 %,
HS/2018/16681,1,1,1,0,1,1,0,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,80 %,
HS/2018/16682,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,91 %,
HS/2018/16683,1,1,1,0,1,1,0,1,1,1,1,E,1,1,1,1,1,1,1,1,1,1,1,91 %,
HS/2018/16684,1,1,1,0,1,1,0,0,1,1,1,E,1,1,1,1,0,0,1,1,1,1,1,80 %,
HS/2018/16686,0,1,1,0,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,80 %,
HS/2018/16687,1,0,1,0,1,1,0,1,1,1,0,1,1,0,0,1,1,0,0,1,1,1,1,63 %,
HS/2018/16688,1,1,M,M,1,1,M,M,1,1,0,E,1,1,1,0,1,1,1,1,1,1,1,91 %,
HS/2018/16689,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,91 %,
HS/2018/16690,0,1,1,1,1,1,0,0,1,1,0,1,0,0,1,0,0,0,0,1,0,1,1,54 %,
HS/2018/16691,0,1,1,0,1,1,0,1,1,1,0,E,1,1,1,1,1,1,1,1,1,1,1,80 %,
HS/2018/16692,0,1,1,1,0,1,0,0,1,1,0,1,1,1,0,0,0,1,1,1,1,1,1,63 %,
